"","harm","melody","index","beat_pos","duration","scale_deg","approaching","key","depart","ArrNum","DepNum","onOffBeat","ArrSkiSteLeap","DepSkiSteLeap","Prediction","Response"
"32","2ib","16e'",45,"2.75",0.25,"2","-m2","d","-M2",-1,-2,"offbeat","step","step",0.39067442106658,0
"33","4i","16d'",47,"1",0.25,"1","-M2","d","+M2",-2,2,"onbeat","step","step",0.559949642180402,1
"34","4i","16e'",48,"1.25",0.25,"2","+M2","d","+m2",2,1,"offbeat","step","step",0.39067442106658,0
"35","4i","16f'",49,"1.5",0.25,"3","+m2","d","+M2",1,2,"offbeat","step","step",0.39067442106658,0
"36","4i","16g'",50,"1.75",0.25,"4","+M2","d","+M2",2,2,"offbeat","step","step",0.39067442106658,0
"37","4ib","16a'",51,"2",0.25,"5","+M2","d","+m2",2,1,"onbeat","step","step",0.559949642180402,1
"38","4ib","16b-'",52,"2.25",0.25,"6","+m2","d","A1",1,1,"offbeat","step","step",0.39067442106658,0
"39","4ib","16b'",53,"2.5",0.25,"6+","A1","d","+m2",1,1,"offbeat","step","step",0.39067442106658,0
"40","4ib","16cc'",54,"2.75",0.25,"7-","+m2","d","A1",1,1,"offbeat","step","step",0.39067442106658,0
"41","2V","16cc#",56,"1",0.25,"7","A1","d","+m2",1,1,"onbeat","step","step",0.559949642180402,1
"42","2V","16dd",57,"1.25",0.25,"1","+m2","d","A1",1,1,"offbeat","step","step",0.39067442106658,0
"43","2V","16dd#",58,"1.5",0.25,"1+","A1","d","+m2",1,1,"offbeat","step","step",0.39067442106658,0
"44","2V","16ee",59,"1.75",0.25,"2","+m2","d","+m2",1,1,"offbeat","step","step",0.39067442106658,0
"45","2V","16ff",60,"2",0.25,"3","+m2","d","A1",1,1,"onbeat","step","step",0.559949642180402,1
"46","2V","16ff#",61,"2.25",0.25,"3+","A1","d","+m2",1,1,"offbeat","step","step",0.39067442106658,0
"47","2V","16gg",62,"2.5",0.25,"4","+m2","d","A1",1,1,"offbeat","step","step",0.39067442106658,0
"48","2V","16gg#",63,"2.75",0.25,"4+","A1","d","+m2",1,1,"offbeat","step","step",0.39067442106658,0
"49","4i","16aa",65,"1",0.25,"5","+m2","d","+m2",1,1,"onbeat","step","step",0.559949642180402,1
"50","4i","16bb-",66,"1.25",0.25,"6","+m2","d","A1",1,1,"offbeat","step","step",0.39067442106658,0
"51","4i","16bb",67,"1.5",0.25,"6+","A1","d","+m2",1,1,"offbeat","step","step",0.39067442106658,0
"52","4i","16ccc",68,"1.75",0.25,"7-","+m2","d","A1",1,1,"offbeat","step","step",0.39067442106658,0
"53","4ib","16ccc#",69,"2",0.25,"7","A1","d","+m2",1,1,"onbeat","step","step",0.559949642180402,1
"54","4ib","16ddd",70,"2.25",0.25,"1","+m2","d","+M2",1,2,"offbeat","step","step",0.39067442106658,0
"55","4ib","16eee",71,"2.5",0.25,"2","+M2","d","+m2",2,1,"offbeat","step","step",0.39067442106658,0
"56","4ib","16fff",72,"2.75",0.25,"3","+m2","d","-m2",1,-1,"offbeat","step","step",0.39067442106658,0
"57","2V","8eee'",74,"1",0.5,"2","-m2","d","-m3",-1,-3,"onbeat","step","leap",0.984221503911271,1
"58","2V","8ccc#'",75,"1.5",0.5,"7","-m3","d","-M3",-3,-4,"offbeat","leap","leap",0.968895128803985,1
"59","2V","8aa'",76,"2",0.5,"5","-M3","d","[cc]",-4,0,"onbeat","leap","unison",0.987331409424847,1
