"","melody","index","beat_pos","duration","scale_deg","approaching","key","depart","ArrNum","DepNum","onOffBeat","ArrSkiSteLeap","DepSkiSteLeap","Prediction","Response"
"20","12c#<",53,"1.33333",0.333333,"1","+m2","c#","-m2",1,-1,"offbeat","step","step",0.421612351868164,0
"21","12B#<J)",54,"1.66667",0.333333,"7","-m2","c#","-M2",-1,-2,"offbeat","step","step",0.421612351868164,0
"22","4A#<",55,"2",1,"6+","-M2","c#","+M2",-2,2,"onbeat","step","step",0.80152356213528,1
"23","(8B#<L",56,"3",0.5,"7","+M2","c#","+m2",2,1,"onbeat","step","step",0.651563710525005,1
"24","8c#<J",57,"3.5",0.5,"1","+m2","c#","+M2",1,2,"offbeat","step","step",0.485125363073619,1
"25","8d#L",60,"1",0.5,"2","+M2","c#","-m3",2,-3,"onbeat","step","leap",0.984221503911271,1
"26","8B#",61,"1.5",0.5,"7","-m3","c#","+m2",-3,1,"offbeat","leap","step",0.93820188687144,1
"28","8c#)",63,"2",0.5,"1","+m2","c#","-m2",1,-1,"onbeat","step","step",0.651563710525005,1
"29","8B#",64,"2.5",0.5,"7","-m2","c#","+m2",-1,1,"offbeat","step","step",0.485125363073619,1
"30","8c#",65,"3",0.5,"1","+m2","c#","-m3",1,-3,"onbeat","step","leap",0.984221503911271,1
"31","8A#J)",66,"3.5",0.5,"6+","-m3","c#","+M2",-3,2,"offbeat","leap","step",0.93820188687144,1
"32","12B#<L",69,"1",0.333333,"7","+M2","c#","+m2",2,1,"onbeat","step","step",0.59128447506069,1
"33","12c#<",70,"1.33333",0.333333,"1","+m2","c#","-m2",1,-1,"offbeat","step","step",0.421612351868164,0
"34","12B#<J",71,"1.66667",0.333333,"7","-m2","c#","-M2",-1,-2,"offbeat","step","step",0.421612351868164,0
"35","4A#<",72,"2",1,"6+","-M2","c#","+m7",-2,10,"onbeat","step","leap",0.978658599750936,1
"37","12g#'L",77,"1",0.333333,"5","+m7","c#","P1",10,0,"onbeat","leap","unison",0.983918938165749,1
"38","12g#'",78,"1.33333",0.333333,"5","P1","c#","P1",0,0,"offbeat","unison","unison",0.993997502275747,1
"39","12g#'J",79,"1.66667",0.333333,"5","P1","c#","P1",0,0,"offbeat","unison","unison",0.993997502275747,1
"40","4g#",80,"2",1,"5","P1","c#","P1",0,0,"onbeat","unison","unison",0.98355910784716,1
"41","(4g#^>",83,"3",1,"5","P1","c#","+P8",0,12,"onbeat","unison","leap",0.986572858240624,1
"42","8gg#L)",86,"1",0.5,"5","+P8","c#","+m2",12,1,"onbeat","leap","step",0.889707188612599,1
"44","(16aaJk",88,"1.75",0.25,"6","+m2","c#","-m3",1,-3,"offbeat","step","leap",0.692752247568506,1
"45","4.ff#",89,"2",1.5,"4","-m3","c#","+M2",-3,2,"onbeat","leap","step",0.974108350721566,1
"47","8gg#",92,"3.5",0.5,"5","+M2","c#","-M3",2,-4,"offbeat","step","leap",0.659076951088574,1
"48","8.eeL",95,"1",0.75,"3","-M3","c#","+M3",-4,4,"onbeat","leap","leap",0.995684436023356,1
"49","16gg#Jk",96,"1.75",0.25,"5","+M3","c#","-P5",4,-7,"offbeat","leap","leap",0.973211439846859,1
"50","4cc#",97,"2",1,"1","-P5","c#","+m3",-7,3,"onbeat","leap","leap",0.994970376691384,1
"51","4ee",99,"3",1,"3","+m3","c#","+M3",3,4,"onbeat","leap","leap",0.994970376691384,1
"52","8.gg#L)",103,"1",0.75,"5","+M3","c#","+m2",4,1,"onbeat","leap","step",0.922206820363562,1
"53","(16aaJk",104,"1.75",0.25,"6","+m2","c#","-m3",1,-3,"offbeat","step","leap",0.692752247568506,1
"54","4ff#)",105,"2",1,"4","-m3","c#","+M2",-3,2,"onbeat","leap","step",0.945714206375741,1
"55","4gg#^",107,"3",1,"5","+M2","c#","-M3",2,-4,"onbeat","step","leap",0.978658599750936,1
"56","(12eeL",110,"1",0.333333,"3","-M3","c#","+M2",-4,2,"onbeat","leap","step",0.86189411399341,1
"57","12ff#",111,"1.33333",0.333333,"4","+M2","c#","+M2",2,2,"offbeat","step","step",0.421612351868164,0
"58","12gg#J)",112,"1.66667",0.333333,"5","+M2","c#","-P5",2,-7,"offbeat","step","leap",0.681731395556915,1
"60","4.cc#)",114,"2",1.5,"1","-P5","c#","A1",-7,1,"onbeat","leap","step",0.974108350721566,1
"62","(8cc##",117,"3.5",0.5,"1+","A1","c#","+m2",1,1,"offbeat","step","step",0.485125363073619,1
"63","8dd#'L)",120,"1",0.5,"2","+m2","c#","+m2",1,1,"onbeat","step","step",0.651563710525005,1
"65","(16eeJk",122,"1.75",0.25,"3","+m2","c#","-m3",1,-3,"offbeat","step","leap",0.692752247568506,1
"66","4.cc#",124,"2",1.5,"1","-m3","c#","+M2",-3,2,"onbeat","leap","step",0.974108350721566,1
"68","8dd#",127,"3.5",0.5,"2","+M2","c#","-m3",2,-3,"offbeat","step","leap",0.659076951088574,1
"69","8.b#L",130,"1",0.75,"7","-m3","c#","+m3",-3,3,"onbeat","leap","leap",0.995684436023356,1
"70","16dd#Jk",131,"1.75",0.25,"2","+m3","c#","-P5",3,-7,"offbeat","leap","leap",0.973211439846859,1
"71","4g#)",134,"2",1,"5","-P5","c#","+m2",-7,1,"onbeat","leap","step",0.945714206375741,1
"72","(4anT^",135,"3",1,"6","+m2","c#","-m2",1,-1,"onbeat","step","step",0.80152356213528,1
"74","8g#'L)",139,"1",0.5,"5","-m2","c#","-M2",-1,-2,"onbeat","step","step",0.651563710525005,1
"76","(16f#Jk",141,"1.75",0.25,"4","-M2","c#","-m3",-2,-3,"offbeat","step","leap",0.692752247568506,1
"77","4d#)",143,"2",1,"2","-m3","c#","+P4",-3,5,"onbeat","leap","leap",0.994970376691384,1
"78","4g#",144,"3",1,"5","+P4","c#","-P5",5,-7,"onbeat","leap","leap",0.994970376691384,1
"80","2c#^)",148,"1",2,"1","-P5","c#","A1",-7,1,"onbeat","leap","step",0.987841890268467,1
"82","(4c##",155,"3",1,"1+","A1","c#","+m2",1,1,"onbeat","step","step",0.80152356213528,1
"83","8d#L)",158,"1",0.5,"2","+m2","c#","+M3",1,4,"onbeat","step","leap",0.984221503911271,1
"85","(16f##Jk",160,"1.75",0.25,"4+","+M3","c#","+m2",4,1,"offbeat","leap","step",0.911745018777,1
"86","4g#",161,"2",1,"5","+m2","c#","+M3",1,4,"onbeat","step","leap",0.978658599750936,1
"87","8b#L",162,"3",0.5,"7","+M3","c#","+m3",4,3,"onbeat","leap","leap",0.996297497065711,1
"88","8dd#J)",164,"3.5",0.5,"2","+m3","c#","-P8",3,-12,"offbeat","leap","leap",0.968895128803985,1
"89","8d#'L",167,"1",0.5,"2","-P8","c#","+M3",-12,4,"onbeat","leap","leap",0.996297497065711,1
"91","(16f##Jk",169,"1.75",0.25,"4+","+M3","c#","+m2",4,1,"offbeat","leap","step",0.911745018777,1
"92","8g#L",170,"2",0.5,"5","+m2","c#","+M3",1,4,"onbeat","step","leap",0.984221503911271,1
"93","8b#J",171,"2.5",0.5,"7","+M3","c#","+m3",4,3,"offbeat","leap","leap",0.968895128803985,1
"94","4dd#^)",173,"3",1,"2","+m3","c#","-m2",3,-1,"onbeat","leap","step",0.945714206375741,1
"95","8.cc##^L",176,"1",0.75,"1+","-m2","c#","-M3",-1,-4,"onbeat","step","leap",0.98164573451017,1
"96","(16a#Jk",177,"1.75",0.25,"6+","-M3","c#","+m3",-4,3,"offbeat","leap","leap",0.973211439846859,1
"97","4cc#')",178,"2",1,"1","+m3","c#","-m2",3,-1,"onbeat","leap","step",0.945714206375741,1
"98","(8b#L",179,"3",0.5,"7","-m2","c#","-M3",-1,-4,"onbeat","step","leap",0.984221503911271,1
"99","8g#J)",180,"3.5",0.5,"5","-M3","c#","+A4",-4,6,"offbeat","leap","leap",0.968895128803985,1
"100","(12cc##^L",182,"1",0.333333,"1+","+A4","c#","-M3",6,-4,"onbeat","leap","leap",0.996657184255958,1
"101","12a#",183,"1.33333",0.333333,"6+","-M3","c#","+M2",-4,2,"offbeat","leap","step",0.92153950620438,1
"102","12b#J)",184,"1.66667",0.333333,"7","+M2","c#","+m2",2,1,"offbeat","step","step",0.421612351868164,0
"103","4cc#",186,"2",1,"1","+m2","c#","-m2",1,-1,"onbeat","step","step",0.80152356213528,1
"104","(8b#L",187,"3",0.5,"7","-m2","c#","-M3",-1,-4,"onbeat","step","leap",0.984221503911271,1
"105","8g#J)",188,"3.5",0.5,"5","-M3","c#","-P4",-4,-5,"offbeat","leap","leap",0.968895128803985,1
"106","8d#L",192,"1",0.5,"2","-P4","c#","+M3",-5,4,"onbeat","leap","leap",0.996297497065711,1
"108","16f##Jk",194,"1.75",0.25,"4+","+M3","c#","+m2",4,1,"offbeat","leap","step",0.911745018777,1
"109","(4g#",195,"2",1,"5","+m2","c#","+M3",1,4,"onbeat","step","leap",0.978658599750936,1
"110","8b#L",196,"3",0.5,"7","+M3","c#","+m3",4,3,"onbeat","leap","leap",0.996297497065711,1
"111","8dd#J)",198,"3.5",0.5,"2","+m3","c#","-P8",3,-12,"offbeat","leap","leap",0.968895128803985,1
"112","8d#L",202,"1",0.5,"2","-P8","c#","+M3",-12,4,"onbeat","leap","leap",0.996297497065711,1
"114","(16f##Jk",204,"1.75",0.25,"4+","+M3","c#","+m2",4,1,"offbeat","leap","step",0.911745018777,1
"115","8g#L",205,"2",0.5,"5","+m2","c#","+M3",1,4,"onbeat","step","leap",0.984221503911271,1
"116","8b#J",206,"2.5",0.5,"7","+M3","c#","+m3",4,3,"offbeat","leap","leap",0.968895128803985,1
"117","4dd#^)",208,"3",1,"2","+m3","c#","-m2",3,-1,"onbeat","leap","step",0.945714206375741,1
"118","(8cc##L",211,"1",0.5,"1+","-m2","c#","-M3",-1,-4,"onbeat","step","leap",0.984221503911271,1
"119","8a#J",212,"1.5",0.5,"6+","-M3","c#","+m3",-4,3,"offbeat","leap","leap",0.968895128803985,1
"120","4cc#",214,"2",1,"1","+m3","c#","-m2",3,-1,"onbeat","leap","step",0.945714206375741,1
"121","8b#L)",215,"3",0.5,"7","-m2","c#","-M3",-1,-4,"onbeat","step","leap",0.984221503911271,1
"122","(8g#J",216,"3.5",0.5,"5","-M3","c#","+P8",-4,12,"offbeat","leap","leap",0.968895128803985,1
"123","8.gg#L)",220,"1",0.75,"5","+P8","c#","-P8",12,-12,"onbeat","leap","leap",0.995684436023356,1
"124","(16g#k",221,"1.75",0.25,"5","-P8","c#","+P8",-12,12,"offbeat","leap","leap",0.973211439846859,1
"125","8.gg#)",222,"2",0.75,"5","+P8","c#","-P8",12,-12,"onbeat","leap","leap",0.995684436023356,1
"126","(16g#k",223,"2.75",0.25,"5","-P8","c#","+P8",-12,12,"offbeat","leap","leap",0.973211439846859,1
"127","8.gg#)",224,"3",0.75,"5","+P8","c#","-P8",12,-12,"onbeat","leap","leap",0.995684436023356,1
"128","(16g#Jk",225,"3.75",0.25,"5","-P8","c#","+P8",-12,12,"offbeat","leap","leap",0.973211439846859,1
"129","8.gg#L)",229,"1",0.75,"5","+P8","c#","+m2",12,1,"onbeat","leap","step",0.922206820363562,1
"130","(16aaJk",230,"1.75",0.25,"6","+m2","c#","-m3",1,-3,"offbeat","step","leap",0.692752247568506,1
"131","4.ff#",231,"2",1.5,"4","-m3","c#","+M2",-3,2,"onbeat","leap","step",0.974108350721566,1
"133","8gg#",234,"3.5",0.5,"5","+M2","c#","-M3",2,-4,"offbeat","step","leap",0.659076951088574,1
"134","8.eeL",237,"1",0.75,"3","-M3","c#","+M3",-4,4,"onbeat","leap","leap",0.995684436023356,1
"135","16gg#Jk",238,"1.75",0.25,"5","+M3","c#","-P5",4,-7,"offbeat","leap","leap",0.973211439846859,1
"136","4cc#",239,"2",1,"1","-P5","c#","+m3",-7,3,"onbeat","leap","leap",0.994970376691384,1
"137","4ee",241,"3",1,"3","+m3","c#","+M3",3,4,"onbeat","leap","leap",0.994970376691384,1
"138","8gg#''L)",244,"1",0.5,"5","+M3","c#","+m2",4,1,"onbeat","leap","step",0.889707188612599,1
"140","(16aaJk",246,"1.75",0.25,"6","+m2","c#","-m3",1,-3,"offbeat","step","leap",0.692752247568506,1
"141","4ff#)",247,"2",1,"4","-m3","c#","+M2",-3,2,"onbeat","leap","step",0.945714206375741,1
"142","4gg#^",249,"3",1,"5","+M2","c#","-M3",2,-4,"onbeat","step","leap",0.978658599750936,1
"143","(12eeL",254,"1",0.333333,"3","-M3","c#","+M2",-4,2,"onbeat","leap","step",0.86189411399341,1
"144","12ff#",255,"1.33333",0.333333,"4","+M2","c#","+M2",2,2,"offbeat","step","step",0.421612351868164,0
"145","12gg#J)",256,"1.66667",0.333333,"5","+M2","c#","-P5",2,-7,"offbeat","step","leap",0.681731395556915,1
"147","4.cc#^)",258,"2",1.5,"1","-P5","c#","A1",-7,1,"onbeat","leap","step",0.974108350721566,1
"149","8cc##",261,"3.5",0.5,"1+","A1","c#","+m2",1,1,"offbeat","step","step",0.485125363073619,1
"150","8dd#^L",264,"1",0.5,"2","+m2","c#","+m2",1,1,"onbeat","step","step",0.651563710525005,1
"151","8ee^J",265,"1.5",0.5,"3","+m2","c#","-m3",1,-3,"offbeat","step","leap",0.659076951088574,1
"152","4cc#X^",267,"2",1,"1","-m3","c#","+M2",-3,2,"onbeat","leap","step",0.945714206375741,1
"153","4dd#^",268,"3",1,"2","+M2","c#","-m3",2,-3,"onbeat","step","leap",0.978658599750936,1
"154","8b#^L",271,"1",0.5,"7","-m3","c#","+m3",-3,3,"onbeat","leap","leap",0.996297497065711,1
"155","8dd#^J",272,"1.5",0.5,"2","+m3","c#","-P5",3,-7,"offbeat","leap","leap",0.968895128803985,1
"156","8g#^",273,"2",0.5,"5","-P5","c#","+m2",-7,1,"onbeat","leap","step",0.889707188612599,1
"158","(4anT^",275,"3",1,"6","+m2","c#","-m2",1,-1,"onbeat","step","step",0.80152356213528,1
"160","8g#''L)",279,"1",0.5,"5","-m2","c#","-M2",-1,-2,"onbeat","step","step",0.651563710525005,1
"162","(16f#Jk",281,"1.75",0.25,"4","-M2","c#","-m3",-2,-3,"offbeat","step","leap",0.692752247568506,1
"163","4d#)",282,"2",1,"2","-m3","c#","+P4",-3,5,"onbeat","leap","leap",0.994970376691384,1
"164","4g#",284,"3",1,"5","+P4","c#","-P5",5,-7,"onbeat","leap","leap",0.994970376691384,1
"166","2c#^)",288,"1",2,"1","-P5","c#","P1",-7,0,"onbeat","leap","unison",0.998548470389,1
"168","(4c#",294,"3",1,"1","P1","c#","+P8",0,12,"onbeat","unison","leap",0.986572858240624,1
"169","8cc#L",297,"1",0.5,"1","+P8","c#","+M2",12,2,"onbeat","leap","step",0.889707188612599,1
"170","8dd#J",298,"1.5",0.5,"2","+M2","c#","+m2",2,1,"offbeat","step","step",0.485125363073619,1
"171","4.ee",299,"2",1.5,"3","+m2","c#","-m3",1,-3,"onbeat","step","leap",0.971191831255954,1
"173","8cc#)",302,"3.5",0.5,"1","-m3","c#","-M2",-3,-2,"offbeat","leap","step",0.93820188687144,1
"174","(8bL",306,"1",0.5,"7+","-M2","c#","-m3",-2,-3,"onbeat","step","leap",0.984221503911271,1
"175","8g#J",307,"1.5",0.5,"5","-m3","c#","-M3",-3,-4,"offbeat","leap","leap",0.968895128803985,1
"176","2e^)",308,"2",2,"3","-M3","c#","+M6",-4,9,"onbeat","leap","leap",0.990733409062025,1
"178","(8cc#L",313,"1",0.5,"1","+M6","c#","+M2",9,2,"onbeat","leap","step",0.889707188612599,1
"179","8dd#J",314,"1.5",0.5,"2","+M2","c#","+m2",2,1,"offbeat","step","step",0.485125363073619,1
"180","4ee')",315,"2",1,"3","+m2","c#","P1",1,0,"onbeat","step","unison",0.973915443787871,1
"182","(8eeL)",318,"3",0.5,"3","P1","c#","-m3",0,-3,"onbeat","unison","leap",0.990093693344501,1
"183","8cc#J",319,"3.5",0.5,"1","-m3","c#","-M2",-3,-2,"offbeat","leap","step",0.93820188687144,1
"184","8bL",322,"1",0.5,"7+","-M2","c#","-m3",-2,-3,"onbeat","step","leap",0.984221503911271,1
"185","8g#J)",323,"1.5",0.5,"5","-m3","c#","-M3",-3,-4,"offbeat","leap","leap",0.968895128803985,1
"186","[2e^",324,"2",2,"3","-M3","c#","-m3",-4,-3,"onbeat","leap","leap",0.990733409062025,1
"188","4c#",329,"1",1,"1","-m3","c#","-M2",-3,-2,"onbeat","leap","step",0.945714206375741,1
"189","4B",330,"2",1,"7+","-M2","c#","P1",-2,0,"onbeat","step","unison",0.973915443787871,1
"190","4B",331,"3",1,"7+","P1","c#","+M2",0,2,"onbeat","unison","step",0.866141960929531,1
"191","4c#^",333,"1",1,"1","+M2","c#","-M2",2,-2,"onbeat","step","step",0.80152356213528,1
"192","4B",334,"2",1,"7+","-M2","c#","P1",-2,0,"onbeat","step","unison",0.973915443787871,1
"193","4B",335,"3",1,"7+","P1","c#","+M2",0,2,"onbeat","unison","step",0.866141960929531,1
"194","4c#^",337,"1",1,"1","+M2","c#","-M2",2,-2,"onbeat","step","step",0.80152356213528,1
"195","4B",338,"2",1,"7+","-M2","c#","P1",-2,0,"onbeat","step","unison",0.973915443787871,1
"196","4B",339,"3",1,"7+","P1","c#","+M2",0,2,"onbeat","unison","step",0.866141960929531,1
"197","4c#",342,"1",1,"1","+M2","c#","+M10",2,16,"onbeat","step","leap",0.978658599750936,1
"200","(8ee#L",350,"1",0.5,"3+","+M10","c#","+M2",16,2,"onbeat","leap","step",0.889707188612599,1
"201","8ff##J",351,"1.5",0.5,"4+","+M2","c#","+m2",2,1,"offbeat","step","step",0.485125363073619,1
"202","4.gg#^",352,"2",1.5,"5","+m2","c#","-m3",1,-3,"onbeat","step","leap",0.971191831255954,1
"204","8ee#)",355,"3.5",0.5,"3+","-m3","c#","-M2",-3,-2,"offbeat","leap","step",0.93820188687144,1
"205","(8dd#L",358,"1",0.5,"2","-M2","c#","-m3",-2,-3,"onbeat","step","leap",0.984221503911271,1
"206","8b#J)",359,"1.5",0.5,"7","-m3","c#","-M3",-3,-4,"offbeat","leap","leap",0.968895128803985,1
"207","2g#^",360,"2",2,"5","-M3","c#","+M6",-4,9,"onbeat","leap","leap",0.990733409062025,1
"209","(8ee#L",365,"1",0.5,"3+","+M6","c#","+M2",9,2,"onbeat","leap","step",0.889707188612599,1
"210","8ff##J",366,"1.5",0.5,"4+","+M2","c#","+m2",2,1,"offbeat","step","step",0.485125363073619,1
"211","4gg#)",367,"2",1,"5","+m2","c#","P1",1,0,"onbeat","step","unison",0.973915443787871,1
"213","(8gg#L)",370,"3",0.5,"5","P1","c#","-m3",0,-3,"onbeat","unison","leap",0.990093693344501,1
"214","8ee#J)",371,"3.5",0.5,"3+","-m3","c#","-M2",-3,-2,"offbeat","leap","step",0.93820188687144,1
"215","(8dd#L",374,"1",0.5,"2","-M2","c#","-m3",-2,-3,"onbeat","step","leap",0.984221503911271,1
"216","8b#J",375,"1.5",0.5,"7","-m3","c#","-M3",-3,-4,"offbeat","leap","leap",0.968895128803985,1
"217","[>2g#^)",377,"2",2,"5","-M3","c#","-m3",-4,-3,"onbeat","leap","leap",0.990733409062025,1
"219","4e#",381,"1",1,"3+","-m3","c#","-M2",-3,-2,"onbeat","leap","step",0.945714206375741,1
"220","4d#",382,"2",1,"2","-M2","c#","P1",-2,0,"onbeat","step","unison",0.973915443787871,1
"221","4d#",383,"3",1,"2","P1","c#","+M2",0,2,"onbeat","unison","step",0.866141960929531,1
"222","4e#^",385,"1",1,"3+","+M2","c#","-M2",2,-2,"onbeat","step","step",0.80152356213528,1
"223","4d#",386,"2",1,"2","-M2","c#","P1",-2,0,"onbeat","step","unison",0.973915443787871,1
"224","4d#",387,"3",1,"2","P1","c#","+M2",0,2,"onbeat","unison","step",0.866141960929531,1
"225","4e#^",390,"1",1,"3+","+M2","c#","-M2",2,-2,"onbeat","step","step",0.80152356213528,1
"226","4d#",391,"2",1,"2","-M2","c#","P1",-2,0,"onbeat","step","unison",0.973915443787871,1
"227","4d#",392,"3",1,"2","P1","c#","+M2",0,2,"onbeat","unison","step",0.866141960929531,1
"228","4e#^",394,"1",1,"3+","+M2","c#","-M2",2,-2,"onbeat","step","step",0.80152356213528,1
"229","4d#",395,"2",1,"2","-M2","c#","P1",-2,0,"onbeat","step","unison",0.973915443787871,1
"230","8d#L",396,"3",0.5,"2","P1","c#","-M2",0,-2,"onbeat","unison","step",0.749762270426289,1
"231","8c#J",397,"3.5",0.5,"1","-M2","c#","-d2",-2,0,"offbeat","step","unison",0.925521615272745,1
"233","4B#<",400,"1",1,"7","-d2","c#","-M2",0,-2,"onbeat","unison","step",0.866141960929531,1
"234","4A#<",401,"2",1,"6+","-M2","c#","+M2",-2,2,"onbeat","step","step",0.80152356213528,1
"235","8B#<L",402,"3",0.5,"7","+M2","c#","+m2",2,1,"onbeat","step","step",0.651563710525005,1
"236","8c#<J",403,"3.5",0.5,"1","+m2","c#","+M2",1,2,"offbeat","step","step",0.485125363073619,1
"237","8d#L",405,"1",0.5,"2","+M2","c#","-m3",2,-3,"onbeat","step","leap",0.984221503911271,1
"238","8B#J",406,"1.5",0.5,"7","-m3","c#","+m2",-3,1,"offbeat","leap","step",0.93820188687144,1
"239","4.c#^",407,"2",1.5,"1","+m2","c#","-d5",1,-6,"onbeat","step","leap",0.971191831255954,1
"241","8A#<",409,"3.5",0.5,"6+","-d5","c#","+M2",-6,2,"offbeat","leap","step",0.93820188687144,1
"242","12B#<L",412,"1",0.333333,"7","+M2","c#","+m2",2,1,"onbeat","step","step",0.59128447506069,1
"243","12c#<",413,"1.33333",0.333333,"1","+m2","c#","-m2",1,-1,"offbeat","step","step",0.421612351868164,0
"244","12B#<J",414,"1.66667",0.333333,"7","-m2","c#","-M2",-1,-2,"offbeat","step","step",0.421612351868164,0
"245","4A#<",415,"2",1,"6+","-M2","c#","+M2",-2,2,"onbeat","step","step",0.80152356213528,1
"246","8B#<L",416,"3",0.5,"7","+M2","c#","+m2",2,1,"onbeat","step","step",0.651563710525005,1
"247","8c#<J",417,"3.5",0.5,"1","+m2","c#","+M2",1,2,"offbeat","step","step",0.485125363073619,1
"248","(12d#L",419,"1",0.333333,"2","+M2","c#","+m3",2,3,"onbeat","step","leap",0.985737543920298,1
"249","12f#",420,"1.33333",0.333333,"4","+m3","c#","-M2",3,-2,"offbeat","leap","step",0.92153950620438,1
"250","12eJ)",421,"1.66667",0.333333,"3","-M2","c#","-m2",-2,-1,"offbeat","step","step",0.421612351868164,0
"251","2d#",422,"2",2,"2","-m2","c#","-m3",-1,-3,"onbeat","step","leap",0.961216174965712,1
"252","(12B#<L",426,"1",0.333333,"7","-m3","c#","+m2",-3,1,"onbeat","leap","step",0.86189411399341,1
"253","12c#<",427,"1.33333",0.333333,"1","+m2","c#","-m2",1,-1,"offbeat","step","step",0.421612351868164,0
"254","12B#<J)",428,"1.66667",0.333333,"7","-m2","c#","-M2",-1,-2,"offbeat","step","step",0.421612351868164,0
"255","4A#<",429,"2",1,"6+","-M2","c#","+M2",-2,2,"onbeat","step","step",0.80152356213528,1
"256","(8B#<L",430,"3",0.5,"7","+M2","c#","+m2",2,1,"onbeat","step","step",0.651563710525005,1
"257","8c#<J",431,"3.5",0.5,"1","+m2","c#","+M2",1,2,"offbeat","step","step",0.485125363073619,1
"258","8d#L",433,"1",0.5,"2","+M2","c#","-m3",2,-3,"onbeat","step","leap",0.984221503911271,1
"259","8B#",434,"1.5",0.5,"7","-m3","c#","+m2",-3,1,"offbeat","leap","step",0.93820188687144,1
"261","8c#)",436,"2",0.5,"1","+m2","c#","-m2",1,-1,"onbeat","step","step",0.651563710525005,1
"262","8B#",437,"2.5",0.5,"7","-m2","c#","+m2",-1,1,"offbeat","step","step",0.485125363073619,1
"263","8c#",438,"3",0.5,"1","+m2","c#","-m3",1,-3,"onbeat","step","leap",0.984221503911271,1
"264","8A#J)",439,"3.5",0.5,"6+","-m3","c#","+M2",-3,2,"offbeat","leap","step",0.93820188687144,1
"265","(>12B#<L",442,"1",0.333333,"7","+M2","c#","+m2",2,1,"onbeat","step","step",0.59128447506069,1
"266","12c#<",443,"1.33333",0.333333,"1","+m2","c#","-m2",1,-1,"offbeat","step","step",0.421612351868164,0
"267","12B#<J)",444,"1.66667",0.333333,"7","-m2","c#","-M2",-1,-2,"offbeat","step","step",0.421612351868164,0
"268","4A#<",445,"2",1,"6+","-M2","c#","+m7",-2,10,"onbeat","step","leap",0.978658599750936,1
"270","12g#'L",449,"1",0.333333,"5","+m7","c#","P1",10,0,"onbeat","leap","unison",0.983918938165749,1
"271","12g#'",450,"1.33333",0.333333,"5","P1","c#","P1",0,0,"offbeat","unison","unison",0.993997502275747,1
"272","12g#'J",451,"1.66667",0.333333,"5","P1","c#","P1",0,0,"offbeat","unison","unison",0.993997502275747,1
"273","4g#",452,"2",1,"5","P1","c#","P1",0,0,"onbeat","unison","unison",0.98355910784716,1
"274","(4g#^",453,"3",1,"5","P1","c#","+P8",0,12,"onbeat","unison","leap",0.986572858240624,1
"275","8gg#L)",456,"1",0.5,"5","+P8","c#","+m2",12,1,"onbeat","leap","step",0.889707188612599,1
"277","(16aaJk",458,"1.75",0.25,"6","+m2","c#","-m3",1,-3,"offbeat","step","leap",0.692752247568506,1
"278","4.ff#",459,"2",1.5,"4","-m3","c#","+M2",-3,2,"onbeat","leap","step",0.974108350721566,1
