"","X","function.","harm","melody","beat_pos","duration","scale_deg","approaching","key","file","ArrByRest","DepByRest","depart","Response","Chordnotes"
"21",27,"2T","I/III","24ee-",1.66667,0.166667,"3","-M2","c","B063.krn",0,0,"-m2",0,"3- 7- 5"
"22",28,"2T","I/III","24ddJJ",1.83333,0.166667,"2","-m2","c","B063.krn",0,0,"+m2",0,"3- 7- 5"
"23",29,"2T","I/III","8.ee-L",2,0.75,"3","+m2","c","B063.krn",0,0,"+M3",0,"3- 7- 5"
"24",30,"2T","I/III","16ggJk)",2.75,0.25,"5","+M3","c","B063.krn",0,0,"-M2",1,"3- 7- 5"
"25",31,"2T","V7/III","(8ffL",3,0.5,"4","-M2","c","B063.krn",0,0,"+P4",1,"7- 4 2 6- 5+"
"26",32,"2T","V7/III","8bb-)",3.5,0.5,"7-","+P4","c","B063.krn",0,0,"P1",1,"7- 4 2 6- 5+"
"27",33,"2T","V7/III","8bb-'",4,0.5,"7-","P1","c","B063.krn",0,0,"P1",1,"7- 4 2 6- 5+"
"28",34,"2T","V7/III","8bb-'J",4.5,0.5,"7-","P1","c","B063.krn",0,0,"-P5",1,"7- 4 2 6- 5+"
"29",35,"2T","I/III","(8ee-L",1,0.5,"3","-P5","c","B063.krn",0,0,"+M2",0,"3- 7- 5"
"30",36,"2T","I/III","24ffL",1.5,0.166667,"4","+M2","c","B063.krn",0,0,"-M2",0,"3- 7- 5"
"31",37,"2T","I/III","24ee-",1.66667,0.166667,"3","-M2","c","B063.krn",0,0,"-m2",0,"3- 7- 5"
"32",38,"2T","I/III","24ddJJ",1.83333,0.166667,"2","-m2","c","B063.krn",0,0,"+m2",0,"3- 7- 5"
"33",39,"2T","I/III","8.ee-L",2,0.75,"3","+m2","c","B063.krn",0,0,"+M3",0,"3- 7- 5"
"34",40,"2T","I/III","16ggJk)",2.75,0.25,"5","+M3","c","B063.krn",0,0,"-M2",1,"3- 7- 5"
"35",41,"2T","V7/III","(8ffL",3,0.5,"4","-M2","c","B063.krn",0,0,"+P4",1,"7- 4 2 6- 5+"
"36",42,"2T","V7/III","8bb-)",3.5,0.5,"7-","+P4","c","B063.krn",0,0,"P1",1,"7- 4 2 6- 5+"
"37",43,"2T","V7/III","8bb-'",4,0.5,"7-","P1","c","B063.krn",0,0,"P1",1,"7- 4 2 6- 5+"
"38",44,"2T","V7/III","8bb-'J",4.5,0.5,"7-","P1","c","B063.krn",0,0,"P1",1,"7- 4 2 6- 5+"
"39",45,"4T","I/III","8bb-L",1,0.5,"7-","P1","c","B063.krn",0,0,"+M2",1,"3- 7- 5"
"40",46,"4T","I/III","(32cccLL",1.5,0.125,"1","+M2","c","B063.krn",0,0,"-M2",0,"3- 7- 5"
"41",47,"4T","I/III","32bb-",1.625,0.125,"7-","-M2","c","B063.krn",0,0,"-m2",1,"3- 7- 5"
"42",48,"4T","I/III","32aa",1.75,0.125,"6+","-m2","c","B063.krn",0,0,"+m2",0,"3- 7- 5"
"43",49,"4T","I/III","32bb-JJJ",1.875,0.125,"7-","+m2","c","B063.krn",0,0,"+M2",1,"3- 7- 5"
"44",50,"4P","IV/III","8cccL",2,0.5,"1","+M2","c","B063.krn",0,0,"-M2",1,"6- 3- 1"
"45",51,"4P","IV/III","8bb-J)",2.5,0.5,"7-","-M2","c","B063.krn",0,0,"P1",0,"6- 3- 1"
"46",52,"4D","C/III","8bb-",3,0.5,"7-","P1","c","B063.krn",0,0,"-M2",1,"7- 3- 5 2+"
"47",53,"4D","C/III","8aa-",3.5,0.5,"6","-M2","c","B063.krn",0,0,"-m2",0,"7- 3- 5 2+"
"48",54,"4D","V/III","8gg",4,0.5,"5","-m2","c","B063.krn",0,0,"-M2",0,"7- 4 2"
"49",55,"4D","V/III","8ff",4.5,0.5,"4","-M2","c","B063.krn",0,0,"-M2",1,"7- 4 2"
"50",56,"1T","I/III","4ee-",1,1,"3","-M2","c","B063.krn",0,0,"P1",0,"3- 7- 5"
"51",57,"1T","I/III","8.ee-",2,0.75,"3","P1","c","B063.krn",0,0,"P1",0,"3- 7- 5"
"52",58,"1T","I/III","16ee-",2.75,0.25,"3","P1","c","B063.krn",0,0,"P1",0,"3- 7- 5"
"53",59,"1T","I/III","2ee-",3,2,"3","P1","c","B063.krn",0,0,"[bb-]",0,"3- 7- 5"
"54",60,"2T","III","4bb-",1,1,"7-","[bb-]","c","B063.krn",0,0,"P1",0,"3 7 5+"
"55",61,"2T","III","8.bb-L",2,0.75,"7-","P1","c","B063.krn",0,0,"P1",0,"3 7 5+"
"56",63,"2T","III","16bb-Jk",2.75,0.25,"7-","P1","c","B063.krn",0,0,"+M2",0,"3 7 5+"
"57",64,"2T","V/iv","(8cccL",3,0.5,"1","+M2","c","B063.krn",0,0,"-M2",1,"1 5 3"
"58",65,"2T","V/iv","8bb-",3.5,0.5,"7-","-M2","c","B063.krn",0,0,"-M2",0,"1 5 3"
"59",66,"2T","V/iv","8aa-",4,0.5,"6","-M2","c","B063.krn",0,0,"-m2",0,"1 5 3"
"60",67,"2T","V/iv","8ggJ)",4.5,0.5,"5","-m2","c","B063.krn",0,0,"+m2",1,"1 5 3"
"61",68,"1T","iv","4aa-",1,1,"6","+m2","c","B063.krn",0,0,"-m3",0,"4 1 6- 5+"
"62",69,"1T","iv","8.ff",2,0.75,"4","-m3","c","B063.krn",0,0,"P1",1,"4 1 6- 5+"
"63",70,"1T","iv","16ff",2.75,0.25,"4","P1","c","B063.krn",0,0,"P1",1,"4 1 6- 5+"
"64",71,"1T","iv","2ff",3,2,"4","P1","c","B063.krn",0,0,"+M2",1,"4 1 6- 5+"
"65",72,"4T","i","4gg",1,1,"5","+M2","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"66",73,"4T","i","8.gg",2,0.75,"5","P1","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"67",74,"4T","i","16gg",2.75,0.25,"5","P1","c","B063.krn",0,0,"+m2",1,"1 5 3- 2+"
"68",75,"4P","iv","8aa-",3,0.5,"6","+m2","c","B063.krn",0,0,"-m2",0,"4 1 6- 5+"
"69",76,"4P","iv","8gg",3.5,0.5,"5","-m2","c","B063.krn",0,0,"-M2",0,"4 1 6- 5+"
"70",77,"4D","V/V","8ff",4,0.5,"4","-M2","c","B063.krn",0,0,"-M2",0,"2 6 4+"
"71",78,"4D","V/V","8ee-",4.5,0.5,"3","-M2","c","B063.krn",0,0,"-m2",0,"2 6 4+"
"72",79,"1D","V","4dd",1,1,"2","-m2","c","B063.krn",0,0,"P1",1,"5 2 7"
"73",80,"1D","V","8.dd",2,0.75,"2","P1","c","B063.krn",0,0,"P1",1,"5 2 7"
"74",81,"1D","V","16dd",2.75,0.25,"2","P1","c","B063.krn",0,0,"P1",1,"5 2 7"
"75",82,"1D","V","2dd",3,2,"2","P1","c","B063.krn",0,0,"[cc]",1,"5 2 7"
"76",83,"4..T","i","(8ccL",1,0.5,"1","[cc]","c","B063.krn",0,0,"+M2",1,"1 5 3- 2+"
"77",84,"4..T","i","24ddL",1.5,0.166667,"2","+M2","c","B063.krn",0,0,"-M2",0,"1 5 3- 2+"
"78",85,"4..T","i","24cc",1.66667,0.166667,"1","-M2","c","B063.krn",0,0,"-m2",1,"1 5 3- 2+"
"79",86,"4..T","i","24bJJ",1.83333,0.166667,"7","-m2","c","B063.krn",0,0,"+m2",0,"1 5 3- 2+"
"80",87,"4..T","i","8.ccL",2,0.75,"1","+m2","c","B063.krn",0,0,"+m3",1,"1 5 3- 2+"
"81",88,"16T","i","16ee-Jk)",2.75,0.25,"3","+m3","c","B063.krn",0,0,"-m2",0,"1 5 3- 2+"
"82",89,"2T","V","(8ddL",3,0.5,"2","-m2","c","B063.krn",0,0,"+P4",1,"5 2 7"
"83",90,"2T","V","8gg)",3.5,0.5,"5","+P4","c","B063.krn",0,0,"P1",1,"5 2 7"
"84",91,"2T","V","8gg'",4,0.5,"5","P1","c","B063.krn",0,0,"P1",1,"5 2 7"
"85",92,"2T","V","8gg'J",4.5,0.5,"5","P1","c","B063.krn",0,0,"-P5",1,"5 2 7"
"86",93,"4..T","i","(8ccL",1,0.5,"1","-P5","c","B063.krn",0,0,"+M2",1,"1 5 3- 2+"
"87",94,"4..T","i","24ddL",1.5,0.166667,"2","+M2","c","B063.krn",0,0,"-M2",0,"1 5 3- 2+"
"88",95,"4..T","i","24cc",1.66667,0.166667,"1","-M2","c","B063.krn",0,0,"-m2",1,"1 5 3- 2+"
"89",96,"4..T","i","24bJJ",1.83333,0.166667,"7","-m2","c","B063.krn",0,0,"+m2",0,"1 5 3- 2+"
"90",97,"4..T","i","8.ccL",2,0.75,"1","+m2","c","B063.krn",0,0,"+m3",1,"1 5 3- 2+"
"91",98,"16T","i","16ee-Jk)",2.75,0.25,"3","+m3","c","B063.krn",0,0,"-m2",0,"1 5 3- 2+"
"92",99,"2T","V","(8ddL",3,0.5,"2","-m2","c","B063.krn",0,0,"+P4",1,"5 2 7"
"93",100,"2T","V","8gg)",3.5,0.5,"5","+P4","c","B063.krn",0,0,"P1",1,"5 2 7"
"94",101,"2T","V","8gg'",4,0.5,"5","P1","c","B063.krn",0,0,"P1",1,"5 2 7"
"95",102,"2T","V","8gg'J",4.5,0.5,"5","P1","c","B063.krn",0,0,"P1",1,"5 2 7"
"96",103,"4T","i","(8ggL",1,0.5,"5","P1","c","B063.krn",0,0,"+m2",1,"1 5 3- 2+"
"97",104,"4T","i","8aa-)",1.5,0.5,"6","+m2","c","B063.krn",0,0,"-m2",0,"1 5 3- 2+"
"98",105,"4P","iv","(8gg",2,0.5,"5","-m2","c","B063.krn",0,0,"+m2",0,"4 1 6- 5+"
"99",106,"4P","iv","8aa-J)",2.5,0.5,"6","+m2","c","B063.krn",0,0,"-m2",0,"4 1 6- 5+"
"100",107,"4D","C","8gg",3,0.5,"5","-m2","c","B063.krn",0,0,"-M2",1,"5 1 3 7+"
"101",108,"4D","C","8ff",3.5,0.5,"4","-M2","c","B063.krn",0,0,"-M2",0,"5 1 3 7+"
"102",109,"4D","V","8ee-",4,0.5,"3","-M2","c","B063.krn",0,0,"-m2",0,"5 2 7"
"103",110,"4D","V","8dd",4.5,0.5,"2","-m2","c","B063.krn",0,0,"-M2",1,"5 2 7"
"104",111,"1T","i","4cc",1,1,"1","-M2","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"105",112,"1T","i","8.cc",2,0.75,"1","P1","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"106",113,"1T","i","16cc",2.75,0.25,"1","P1","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"107",114,"1T","i","2cc",3,2,"1","P1","c","B063.krn",0,0,"[cc]",1,"1 5 3- 2+"
"108",115,"1T","i","2cc'",1,2,"1","[cc]","c","B063.krn",0,0,"+m3",1,"1 5 3- 2+"
"109",120,"1T","i","(4ee-",3,1,"3","+m3","c","B063.krn",0,0,"-m2",0,"1 5 3- 2+"
"110",122,"1T","i","8ddL",4,0.5,"2","-m2","c","B063.krn",0,0,"-M2",0,"1 5 3- 2+"
"111",123,"1T","i","8ccJ)",4.5,0.5,"1","-M2","c","B063.krn",0,0,"+A4",1,"1 5 3- 2+"
"112",124,"1D","V","(4ff#",1,1,"4+","+A4","c","B063.krn",0,0,"+m2",0,"5 2 7"
"113",126,"1D","V","4gg)",2,1,"5","+m2","c","B063.krn",0,0,"-P4",1,"5 2 7"
"114",128,"1D","V","2dd",3,2,"2","-P4","c","B063.krn",0,0,"+m3",1,"5 2 7"
"115",132,"1D","V7","(4.ff",1,1.5,"4","+m3","c","B063.krn",0,0,"+M2",1,"5 2 7 4 3+"
"116",135,"1D","V7","16ggLL",2.5,0.25,"5","+M2","c","B063.krn",0,0,"+m2",1,"5 2 7 4 3+"
"117",136,"1D","V7","16aa-JJ",2.75,0.25,"6","+m2","c","B063.krn",0,0,"-m2",0,"5 2 7 4 3+"
"118",137,"1D","V7","8ggL",3,0.5,"5","-m2","c","B063.krn",0,0,"-M2",1,"5 2 7 4 3+"
"119",138,"1D","V7","8ff",3.5,0.5,"4","-M2","c","B063.krn",0,0,"-M2",1,"5 2 7 4 3+"
"120",139,"1D","V7","8ee-",4,0.5,"3","-M2","c","B063.krn",0,0,"-m2",0,"5 2 7 4 3+"
"121",140,"1D","V7","8ddJ)",4.5,0.5,"2","-m2","c","B063.krn",0,0,"+m2",1,"5 2 7 4 3+"
"122",141,"1T","i","4ee-",1,1,"3","+m2","c","B063.krn",0,0,"-m3",0,"1 5 3- 2+"
"123",143,"1T","i","8.ccL",2,0.75,"1","-m3","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"124",145,"1T","i","16ccJk",2.75,0.25,"1","P1","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"125",146,"1T","i","2cc",3,2,"1","P1","c","B063.krn",0,0,"[ee-]",1,"1 5 3- 2+"
"126",150,"2T","I/III","(8ee-L",1,0.5,"3","[ee-]","c","B063.krn",0,0,"+M2",0,"3- 7- 5"
"127",151,"2T","I/III","24ffL",1.5,0.166667,"4","+M2","c","B063.krn",0,0,"-M2",0,"3- 7- 5"
"128",152,"2T","I/III","24ee-",1.66667,0.166667,"3","-M2","c","B063.krn",0,0,"-m2",0,"3- 7- 5"
"129",153,"2T","I/III","24ddJJ",1.83333,0.166667,"2","-m2","c","B063.krn",0,0,"+m2",0,"3- 7- 5"
"130",154,"2T","I/III","8.ee-L",2,0.75,"3","+m2","c","B063.krn",0,0,"+M3",0,"3- 7- 5"
"131",156,"2T","I/III","16ggJk)",2.75,0.25,"5","+M3","c","B063.krn",0,0,"-M2",1,"3- 7- 5"
"132",157,"2T","V7/III","(8ffL",3,0.5,"4","-M2","c","B063.krn",0,0,"+P4",1,"7- 4 2 6- 5+"
"133",158,"2T","V7/III","8bb-)",3.5,0.5,"7-","+P4","c","B063.krn",0,0,"P1",1,"7- 4 2 6- 5+"
"134",159,"2T","V7/III","8bb-'",4,0.5,"7-","P1","c","B063.krn",0,0,"P1",1,"7- 4 2 6- 5+"
"135",160,"2T","V7/III","8bb-'J",4.5,0.5,"7-","P1","c","B063.krn",0,0,"-P5",1,"7- 4 2 6- 5+"
"136",161,"2T","I/III","(8ee-L",1,0.5,"3","-P5","c","B063.krn",0,0,"+M2",0,"3- 7- 5"
"137",162,"2T","I/III","24ffL",1.5,0.166667,"4","+M2","c","B063.krn",0,0,"-M2",0,"3- 7- 5"
"138",163,"2T","I/III","24ee-",1.66667,0.166667,"3","-M2","c","B063.krn",0,0,"-m2",0,"3- 7- 5"
"139",164,"2T","I/III","24ddJJ",1.83333,0.166667,"2","-m2","c","B063.krn",0,0,"+m2",0,"3- 7- 5"
"140",165,"2T","I/III","8.ee-L",2,0.75,"3","+m2","c","B063.krn",0,0,"+M3",0,"3- 7- 5"
"141",167,"2T","I/III","16ggJk)",2.75,0.25,"5","+M3","c","B063.krn",0,0,"-M2",1,"3- 7- 5"
"142",168,"2T","V7/III","8ffL",3,0.5,"4","-M2","c","B063.krn",0,0,"+P4",1,"7- 4 2 6- 5+"
"143",170,"2T","V7/III","8bb-'",3.5,0.5,"7-","+P4","c","B063.krn",0,0,"P1",1,"7- 4 2 6- 5+"
"144",172,"2T","V7/III","8bb-'",4,0.5,"7-","P1","c","B063.krn",0,0,"P1",1,"7- 4 2 6- 5+"
"145",174,"2T","V7/III","8bb-'J",4.5,0.5,"7-","P1","c","B063.krn",0,0,"-P5",1,"7- 4 2 6- 5+"
"146",175,"4T","I/III","(8ee-L",1,0.5,"3","-P5","c","B063.krn",0,0,"+P5",0,"3- 7- 5"
"147",176,"4T","I/III","8bb-",1.5,0.5,"7-","+P5","c","B063.krn",0,0,"+M2",1,"3- 7- 5"
"148",177,"4P","IV/III","8ccc",2,0.5,"1","+M2","c","B063.krn",0,0,"-M2",1,"6- 3- 1"
"149",178,"4P","IV/III","8bb-J)",2.5,0.5,"7-","-M2","c","B063.krn",0,0,"P1",0,"6- 3- 1"
"150",179,"4D","C/III","(8bb-L",3,0.5,"7-","P1","c","B063.krn",0,0,"-M2",1,"7- 3- 5 2+"
"151",180,"4D","C/III","8aa-",3.5,0.5,"6","-M2","c","B063.krn",0,0,"-m2",0,"7- 3- 5 2+"
"152",181,"4D","V/III","8gg",4,0.5,"5","-m2","c","B063.krn",0,0,"-M2",0,"7- 4 2"
"153",182,"4D","V/III","8ffJ)",4.5,0.5,"4","-M2","c","B063.krn",0,0,"-M2",1,"7- 4 2"
"154",183,"1T","I/III","4ee-",1,1,"3","-M2","c","B063.krn",0,0,"P1",0,"3- 7- 5"
"155",184,"1T","I/III","8.ee-",2,0.75,"3","P1","c","B063.krn",0,0,"P1",0,"3- 7- 5"
"156",185,"1T","I/III","16ee-",2.75,0.25,"3","P1","c","B063.krn",0,0,"P1",0,"3- 7- 5"
"157",186,"1T","I/III","2ee-",3,2,"3","P1","c","B063.krn",0,0,"[bb-]",0,"3- 7- 5"
"158",187,"2T","III","4bb-",1,1,"7-","[bb-]","c","B063.krn",0,0,"P1",0,"3 7 5+"
"159",189,"2T","III","8.bb-L",2,0.75,"7-","P1","c","B063.krn",0,0,"P1",0,"3 7 5+"
"160",191,"2T","III","16bb-Jk",2.75,0.25,"7-","P1","c","B063.krn",0,0,"+M2",0,"3 7 5+"
"161",192,"2T","V/iv","(8cccL",3,0.5,"1","+M2","c","B063.krn",0,0,"-M2",1,"1 5 3"
"162",193,"2T","V/iv","8bb-",3.5,0.5,"7-","-M2","c","B063.krn",0,0,"-M2",0,"1 5 3"
"163",194,"2T","V/iv","8aa-",4,0.5,"6","-M2","c","B063.krn",0,0,"-m2",0,"1 5 3"
"164",195,"2T","V/iv","8ggJ)",4.5,0.5,"5","-m2","c","B063.krn",0,0,"-M2",1,"1 5 3"
"165",196,"1T","iv","4ff",1,1,"4","-M2","c","B063.krn",0,0,"P1",1,"4 1 6- 5+"
"166",198,"1T","iv","8.ffL",2,0.75,"4","P1","c","B063.krn",0,0,"P1",1,"4 1 6- 5+"
"167",200,"1T","iv","16ffJk",2.75,0.25,"4","P1","c","B063.krn",0,0,"P1",1,"4 1 6- 5+"
"168",201,"1T","iv","2ff",3,2,"4","P1","c","B063.krn",0,0,"+M2",1,"4 1 6- 5+"
"169",205,"2T","i","4gg",1,1,"5","+M2","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"170",207,"2T","i","8.ggL",2,0.75,"5","P1","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"171",209,"2T","i","16ggJk",2.75,0.25,"5","P1","c","B063.krn",0,0,"+m2",1,"1 5 3- 2+"
"172",210,"4P","iv","(8aa-L",3,0.5,"6","+m2","c","B063.krn",0,0,"-m2",0,"4 1 6- 5+"
"173",211,"4P","iv","8gg",3.5,0.5,"5","-m2","c","B063.krn",0,0,"-M2",0,"4 1 6- 5+"
"174",212,"4D","V/V","8ff",4,0.5,"4","-M2","c","B063.krn",0,0,"-M2",0,"2 6 4+"
"175",213,"4D","V/V","8ee-J)",4.5,0.5,"3","-M2","c","B063.krn",0,0,"-m2",0,"2 6 4+"
"176",214,"1D","V","4dd",1,1,"2","-m2","c","B063.krn",0,0,"P1",1,"5 2 7"
"177",216,"1D","V","8.ddL",2,0.75,"2","P1","c","B063.krn",0,0,"P1",1,"5 2 7"
"178",218,"1D","V","16ddJk",2.75,0.25,"2","P1","c","B063.krn",0,0,"P1",1,"5 2 7"
"179",219,"1D","V","2dd",3,2,"2","P1","c","B063.krn",0,0,"[cc]",1,"5 2 7"
"180",223,"2T","i","(8ccL",1,0.5,"1","[cc]","c","B063.krn",0,0,"+M2",1,"1 5 3- 2+"
"181",224,"2T","i","24ddL",1.5,0.166667,"2","+M2","c","B063.krn",0,0,"-M2",0,"1 5 3- 2+"
"182",225,"2T","i","24cc",1.66667,0.166667,"1","-M2","c","B063.krn",0,0,"-m2",1,"1 5 3- 2+"
"183",226,"2T","i","24bJJ",1.83333,0.166667,"7","-m2","c","B063.krn",0,0,"+m2",0,"1 5 3- 2+"
"184",227,"2T","i","8.ccL",2,0.75,"1","+m2","c","B063.krn",0,0,"+m3",1,"1 5 3- 2+"
"185",229,"2T","i","16ee-Jk)",2.75,0.25,"3","+m3","c","B063.krn",0,0,"-m2",0,"1 5 3- 2+"
"186",230,"2T","V","(8ddL",3,0.5,"2","-m2","c","B063.krn",0,0,"+P4",1,"5 2 7"
"187",231,"2T","V","8gg)",3.5,0.5,"5","+P4","c","B063.krn",0,0,"P1",1,"5 2 7"
"188",232,"2T","V","8gg'",4,0.5,"5","P1","c","B063.krn",0,0,"P1",1,"5 2 7"
"189",233,"2T","V","8gg'J",4.5,0.5,"5","P1","c","B063.krn",0,0,"-P5",1,"5 2 7"
"190",234,"2T","i","(8ccL",1,0.5,"1","-P5","c","B063.krn",0,0,"+M2",1,"1 5 3- 2+"
"191",235,"2T","i","24ddL",1.5,0.166667,"2","+M2","c","B063.krn",0,0,"-M2",0,"1 5 3- 2+"
"192",236,"2T","i","24cc",1.66667,0.166667,"1","-M2","c","B063.krn",0,0,"-m2",1,"1 5 3- 2+"
"193",237,"2T","i","24bJJ",1.83333,0.166667,"7","-m2","c","B063.krn",0,0,"+m2",0,"1 5 3- 2+"
"194",238,"2T","i","8.ccL",2,0.75,"1","+m2","c","B063.krn",0,0,"+m3",1,"1 5 3- 2+"
"195",240,"2T","i","16ee-Jk)",2.75,0.25,"3","+m3","c","B063.krn",0,0,"-m2",0,"1 5 3- 2+"
"196",241,"2T","V","8ddL",3,0.5,"2","-m2","c","B063.krn",0,0,"+P4",1,"5 2 7"
"197",243,"2T","V","8gg'",3.5,0.5,"5","+P4","c","B063.krn",0,0,"P1",1,"5 2 7"
"198",245,"2T","V","8gg'",4,0.5,"5","P1","c","B063.krn",0,0,"P1",1,"5 2 7"
"199",247,"2T","V","8gg'J",4.5,0.5,"5","P1","c","B063.krn",0,0,"P1",1,"5 2 7"
"200",248,"4T","i","(8ggL",1,0.5,"5","P1","c","B063.krn",0,0,"+m2",1,"1 5 3- 2+"
"201",249,"4T","i","8aa-)",1.5,0.5,"6","+m2","c","B063.krn",0,0,"-m2",0,"1 5 3- 2+"
"202",250,"4P","iio","(8gg",2,0.5,"5","-m2","c","B063.krn",0,0,"+m2",0,"2 4 6- 3+ 5+"
"203",251,"4P","iio","8aa-J)",2.5,0.5,"6","+m2","c","B063.krn",0,0,"-m2",0,"2 4 6- 3+ 5+"
"204",252,"4D","C","(8ggL",3,0.5,"5","-m2","c","B063.krn",0,0,"-M2",1,"5 1 3 7+"
"205",253,"4D","C","8ff",3.5,0.5,"4","-M2","c","B063.krn",0,0,"-M2",0,"5 1 3 7+"
"206",254,"4D","V","8ee-",4,0.5,"3","-M2","c","B063.krn",0,0,"-m2",0,"5 2 7"
"207",255,"4D","V","8ddJ)",4.5,0.5,"2","-m2","c","B063.krn",0,0,"-M2",1,"5 2 7"
"208",256,"1T","i","4cc",1,1,"1","-M2","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"209",257,"1T","i","8.cc",2,0.75,"1","P1","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"210",258,"1T","i","16cc",2.75,0.25,"1","P1","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"211",259,"1T","i","2cc",3,2,"1","P1","c","B063.krn",0,0,"[ccc]",1,"1 5 3- 2+"
"212",260,"1T","i","(16cccLL",1,0.25,"1","[ccc]","c","B063.krn",0,0,"-P4",1,"1 5 3- 2+"
"213",261,"1T","i","16gg)",1.25,0.25,"5","-P4","c","B063.krn",0,0,"-M2",1,"1 5 3- 2+"
"214",262,"1T","i","16ff'",1.5,0.25,"4","-M2","c","B063.krn",0,0,"-M2",0,"1 5 3- 2+"
"215",263,"1T","i","16ee-'JJ",1.75,0.25,"3","-M2","c","B063.krn",0,0,"-m2",0,"1 5 3- 2+"
"216",264,"1T","i","(16ddLL",2,0.25,"2","-m2","c","B063.krn",0,0,"-M2",0,"1 5 3- 2+"
"217",265,"1T","i","16cc)",2.25,0.25,"1","-M2","c","B063.krn",0,0,"-m2",1,"1 5 3- 2+"
"218",266,"1T","i","16b'",2.5,0.25,"7","-m2","c","B063.krn",0,0,"+m2",0,"1 5 3- 2+"
"219",267,"1T","i","16cc'JJ",2.75,0.25,"1","+m2","c","B063.krn",0,0,"-m2",1,"1 5 3- 2+"
"220",268,"1T","i","(16bLL",3,0.25,"7","-m2","c","B063.krn",0,0,"+m2",0,"1 5 3- 2+"
"221",269,"1T","i","16cc)",3.25,0.25,"1","+m2","c","B063.krn",0,0,"-m2",1,"1 5 3- 2+"
"222",270,"1T","i","16b'",3.5,0.25,"7","-m2","c","B063.krn",0,0,"+m2",0,"1 5 3- 2+"
"223",271,"1T","i","16cc'JJ",3.75,0.25,"1","+m2","c","B063.krn",0,0,"+P4",1,"1 5 3- 2+"
"224",272,"1T","i","(16ffLL",4,0.25,"4","+P4","c","B063.krn",0,0,"-M2",0,"1 5 3- 2+"
"225",273,"1T","i","16ee-)",4.25,0.25,"3","-M2","c","B063.krn",0,0,"-m2",0,"1 5 3- 2+"
"226",274,"1T","i","16dd'",4.5,0.25,"2","-m2","c","B063.krn",0,0,"-M2",0,"1 5 3- 2+"
