"","harm","melody","beat_pos","duration","scale_deg","approaching","key","file","depart","Response","Chordnotes"
"26","V7","4a-","2","1","4","-M2","E-","1_i.krn","-m2",NA,NA
"27","I","4g","3","1","3","-m2","E-","1_i.krn","+m3",NA,NA
"29","I","4b-","1","1","5","+m3","E-","1_i.krn","+M2",NA,NA
"30","I","8cc","2","0.5","6","+M2","E-","1_i.krn","-M3",NA,NA
"31","I","8a-","2.5","0.5","4","-M3","E-","1_i.krn","-m2",NA,NA
"32","I","4g","3","1","3","-m2","E-","1_i.krn","+m2",NA,NA
"33","I","8a-","4","0.5","4","+m2","E-","1_i.krn","-m3",NA,NA
"34","I","8f","4.5","0.5","2","-m3","E-","1_i.krn","-M2",NA,NA
"35","I","4e-","1","1","1","-M2","E-","1_i.krn","+M2",NA,NA
"36","I","8.f","2","0.75","2","+M2","E-","1_i.krn","-M2",NA,NA
"37","I","32e-","2.75","0.125","1","-M2","E-","1_i.krn","+M2",NA,NA
"38","I","32f","2.875","0.125","2","+M2","E-","1_i.krn","+M2",NA,NA
"39","I","4g","3","1","3","+M2","E-","1_i.krn","+M2",NA,NA
"40","V7/V","8.a","4","0.75","4+","+M2","E-","1_i.krn","-M2",NA,NA
"41","V7/V","32g","4.75","0.125","3","-M2","E-","1_i.krn","+M2",NA,NA
"42","V7/V","32a","4.875","0.125","4+","+M2","E-","1_i.krn","+m2",NA,NA
"43","V","4b-","1","1","5","+m2","E-","1_i.krn","+M3",NA,NA
"50","V","8dd","1.5","0.5","7","+M3","E-","1_i.krn","-M2",NA,NA
"51","V","8cc","2","0.5","6","-M2","E-","1_i.krn","-P5",NA,NA
"52","V","8f","2.5","0.5","2","-P5","E-","1_i.krn","+P4",NA,NA
"53","V7","8b-","3","0.5","5","+P4","E-","1_i.krn","-P8",NA,NA
"54","V7","8B-","3.5","0.5","5","-P8","E-","1_i.krn","P1",NA,NA
"56","V7","8B-","4.5","0.5","5","P1","E-","1_i.krn","+P8",NA,NA
"57","I","4b-","1","1","5","+P8","E-","1_i.krn","+M2",NA,NA
"58","I","16cc","2","0.25","6","+M2","E-","1_i.krn","-M3",NA,NA
"59","I","16a-","2.25","0.25","4","-M3","E-","1_i.krn","+M3",NA,NA
"60","I","16cc","2.5","0.25","6","+M3","E-","1_i.krn","-M3",NA,NA
"61","I","16a-","2.75","0.25","4","-M3","E-","1_i.krn","-m2",NA,NA
"62","I","4g","3","1","3","-m2","E-","1_i.krn","+P8",NA,NA
"64","I","4gg","1","1","3","+P8","E-","1_i.krn","+m2",NA,NA
"65","I","16aa-","2","0.25","4","+m2","E-","1_i.krn","-m3",NA,NA
"66","I","16ff","2.25","0.25","2","-m3","E-","1_i.krn","+m3",NA,NA
"67","I","16aa-","2.5","0.25","4","+m3","E-","1_i.krn","-m3",NA,NA
"68","I","16ff","2.75","0.25","2","-m3","E-","1_i.krn","-M2",NA,NA
"69","I","16ee-","3","0.25","1","-M2","E-","1_i.krn","-m2",NA,NA
"70","I","16dd","3.25","0.25","7","-m2","E-","1_i.krn","+m2",NA,NA
"71","I","16ee-","3.5","0.25","1","+m2","E-","1_i.krn","-P4",NA,NA
"72","I","16b-","3.75","0.25","5","-P4","E-","1_i.krn","-M2",NA,NA
"73","I","16a-","4","0.25","4","-M2","E-","1_i.krn","-m2",NA,NA
"74","I","16g","4.25","0.25","3","-m2","E-","1_i.krn","-M2",NA,NA
"75","I","16f","4.5","0.25","2","-M2","E-","1_i.krn","-M2",NA,NA
"76","I","16e-","4.75","0.25","1","-M2","E-","1_i.krn","-m2",NA,NA
"77","V","8d","1","0.5","7","-m2","E-","1_i.krn","+m6",NA,NA
"78","V","8b-","1.5","0.5","5","+m6","E-","1_i.krn","P1",NA,NA
"79","V","8b-","2","0.5","5","P1","E-","1_i.krn","P1",NA,NA
"80","V","8b-","2.5","0.5","5","P1","E-","1_i.krn","+P4",NA,NA
"81","I","16ee-","3","0.25","1","+P4","E-","1_i.krn","-m2",NA,NA
"82","I","16dd","3.25","0.25","7","-m2","E-","1_i.krn","+m2",NA,NA
"83","I","16ee-","3.5","0.25","1","+m2","E-","1_i.krn","-P4",NA,NA
"84","I","16b-","3.75","0.25","5","-P4","E-","1_i.krn","-M2",NA,NA
"85","I","16a-","4","0.25","4","-M2","E-","1_i.krn","-m2",NA,NA
"86","I","16g","4.25","0.25","3","-m2","E-","1_i.krn","-M2",NA,NA
"87","I","16f","4.5","0.25","2","-M2","E-","1_i.krn","-M2",NA,NA
"88","I","16e-","4.75","0.25","1","-M2","E-","1_i.krn","-m2",NA,NA
"89","V","8d","1","0.5","7","-m2","E-","1_i.krn","+m6",NA,NA
"90","V","8b-","1.5","0.5","5","+m6","E-","1_i.krn","P1",NA,NA
"91","V","8b-","2","0.5","5","P1","E-","1_i.krn","P1",NA,NA
"92","V","8b-","2.5","0.5","5","P1","E-","1_i.krn","+P4",NA,NA
"93","vi","8ee-","3","0.5","1","+P4","E-","1_i.krn","P1",NA,NA
"94","vi","8ee-","3.5","0.5","1","P1","E-","1_i.krn","P1",NA,NA
"95","V7/V","8ee-","4","0.5","1","P1","E-","1_i.krn","P1",NA,NA
"96","V7/V","8ee-","4.5","0.5","1","P1","E-","1_i.krn","P1",NA,NA
"97","V","2ee-","1","2","1","P1","E-","1_i.krn","-m2",NA,NA
"98","V","4dd","3","1","7","-m2","E-","1_i.krn","d1",NA,NA
"101","V7/ii","4.dd-","3","1.5","7-","d1","E-","1_i.krn","-m2",NA,NA
"102","V7/ii","8cc","4.5","0.5","6","-m2","E-","1_i.krn","P1",NA,NA
"103","V7/ii","[2cc","1","2","6","P1","E-","1_i.krn","+M3",NA,NA
"105","ii","16ee","3.25","0.25","1+","+M3","E-","1_i.krn","+m2",NA,NA
"106","ii","16ff","3.5","0.25","2","+m2","E-","1_i.krn","+M2",NA,NA
"107","ii","16gg","3.75","0.25","3","+M2","E-","1_i.krn","+m2",NA,NA
"108","ii","16aa-","4","0.25","4","+m2","E-","1_i.krn","-m2",NA,NA
"109","ii","16gg","4.25","0.25","3","-m2","E-","1_i.krn","+m3",NA,NA
"110","ii","16bb-","4.5","0.25","5","+m3","E-","1_i.krn","-M2",NA,NA
"111","ii","16aa-","4.75","0.25","4","-M2","E-","1_i.krn","+M3",NA,NA
"112","ii","8ccc","1","0.5","6","+M3","E-","1_i.krn","-M2",NA,NA
"114","ii","16bb-","1.75","0.25","5","-M2","E-","1_i.krn","-M2",NA,NA
"115","ii","8aa-","2","0.5","4","-M2","E-","1_i.krn","-m2",NA,NA
"117","ii","16gg","2.75","0.25","3","-m2","E-","1_i.krn","-M2",NA,NA
"118","ii","8ff","3","0.5","2","-M2","E-","1_i.krn","+M2",NA,NA
"121","ii","16gg","4.75","0.25","3","+M2","E-","1_i.krn","+m2",NA,NA
"122","ii","8aa-","1","0.5","4","+m2","E-","1_i.krn","-m2",NA,NA
"124","ii","16gg","1.75","0.25","3","-m2","E-","1_i.krn","-M2",NA,NA
"125","ii","8ff","2","0.5","2","-M2","E-","1_i.krn","-M2",NA,NA
"127","ii","16ee-","2.75","0.25","1","-M2","E-","1_i.krn","-m2",NA,NA
"128","viioD7","4.dd","3","1.5","7","-m2","E-","1_i.krn","+m2",NA,NA
"129","I","8ee-","4.5","0.5","1","+m2","E-","1_i.krn","P1",NA,NA
"130","I","[4ee-","1","1","1","P1","E-","1_i.krn","-m2",NA,NA
"132","I","16dd","2.25","0.25","7","-m2","E-","1_i.krn","+m3",NA,NA
"133","I","16ff","2.5","0.25","2","+m3","E-","1_i.krn","-M2",NA,NA
"134","I","16ee-","2.75","0.25","1","-M2","E-","1_i.krn","+M3",NA,NA
"135","I","8gg","3","0.5","3","+M3","E-","1_i.krn","P1",NA,NA
"136","I","8gg","3.5","0.5","3","P1","E-","1_i.krn","P1",NA,NA
"137","I","8gg","4","0.5","3","P1","E-","1_i.krn","P1",NA,NA
"138","I","8gg","4.5","0.5","3","P1","E-","1_i.krn","-m6",NA,NA
"139","viioD7/vi","4b","1","1","5+","-m6","E-","1_i.krn","+m2",NA,NA
"140","vi","8cc","2","0.5","6","+m2","E-","1_i.krn","+P5",NA,NA
"141","vi","16gg","2.5","0.25","3","+P5","E-","1_i.krn","-M3",NA,NA
"142","vi","16ee-","2.75","0.25","1","-M3","E-","1_i.krn","-m2",NA,NA
"143","V","4dd","3","1","7","-m2","E-","1_i.krn","-M2",NA,NA
"144","V","8cc","4","0.5","6","-M2","E-","1_i.krn","-M2",NA,NA
"145","V","32b-","4.5","0.125","5","-M2","E-","1_i.krn","+P8",NA,NA
"146","V","16.bb-","4.625","0.375","5","+P8","E-","1_i.krn","-m2",NA,NA
"147","I","32aa","1","0.125","4+","-m2","E-","1_i.krn","-M2",NA,NA
"148","I","16.gg","1.125","0.375","3","-M2","E-","1_i.krn","-M2",NA,NA
"149","I","32ff","1.5","0.125","2","-M2","E-","1_i.krn","-M2",NA,NA
"150","I","16.ee-","1.625","0.375","1","-M2","E-","1_i.krn","-m2",NA,NA
"151","I","32dd","2","0.125","7","-m2","E-","1_i.krn","-M2",NA,NA
"152","I","16.cc","2.125","0.375","6","-M2","E-","1_i.krn","+P5",NA,NA
"153","I","32gg","2.5","0.125","3","+P5","E-","1_i.krn","-M6",NA,NA
"154","I","16.b-","2.625","0.375","5","-M6","E-","1_i.krn","P1",NA,NA
"155","V","4b-","3","1","5","P1","E-","1_i.krn","-m2",NA,NA
"156","V/V","8a","4","0.5","4+","-m2","E-","1_i.krn","-M2",NA,NA
"157","V/V","8g","4.5","0.5","3","-M2","E-","1_i.krn","P1",NA,NA
"158","V/V","4g","1","1","3","P1","E-","1_i.krn","-M2",NA,NA
"159","V/V","8f","2","0.5","2","-M2","E-","1_i.krn","-m2",NA,NA
"160","V/V","8e","2.5","0.5","1+","-m2","E-","1_i.krn","P1",NA,NA
"161","V/V","4.e","3","1.5","1+","P1","E-","1_i.krn","+m3",NA,NA
"162","V/V","16g","4.5","0.25","3","+m3","E-","1_i.krn","-M2",NA,NA
"163","V/V","16f","4.75","0.25","2","-M2","E-","1_i.krn","P1",NA,NA
"164","V/V","4.f","1","1.5","2","P1","E-","1_i.krn","-m6",NA,NA
"165","V/V","8A","2.5","0.5","4+","-m6","E-","1_i.krn","+m2",NA,NA
"166","V","16B-","3","0.25","5","+m2","E-","1_i.krn","+P5",NA,NA
"167","V","16f","3.25","0.25","2","+P5","E-","1_i.krn","-m3",NA,NA
"168","V","16d","3.5","0.25","7","-m3","E-","1_i.krn","+m6",NA,NA
"169","V","16b-","3.75","0.25","5","+m6","E-","1_i.krn","-P4",NA,NA
"170","V","16f","4","0.25","2","-P4","E-","1_i.krn","+M6",NA,NA
"171","V","16dd","4.25","0.25","7","+M6","E-","1_i.krn","-M3",NA,NA
"172","V","16b-","4.5","0.25","5","-M3","E-","1_i.krn","+P5",NA,NA
"173","V","16ff","4.75","0.25","2","+P5","E-","1_i.krn","-m3",NA,NA
"174","V","16dd","1","0.25","7","-m3","E-","1_i.krn","+m6",NA,NA
"175","V","16bb-","1.25","0.25","5","+m6","E-","1_i.krn","-P4",NA,NA
"176","V","16ff","1.5","0.25","2","-P4","E-","1_i.krn","+M6",NA,NA
"177","V","16ddd","1.75","0.25","7","+M6","E-","1_i.krn","-M3",NA,NA
"178","V","16bb-","2","0.25","5","-M3","E-","1_i.krn","+P5",NA,NA
"179","V","16fff","2.25","0.25","2","+P5","E-","1_i.krn","-M2",NA,NA
"180","V","16eee-","2.5","0.25","1","-M2","E-","1_i.krn","-m2",NA,NA
"181","V","16ddd","2.75","0.25","7","-m2","E-","1_i.krn","-M2",NA,NA
"182","V","16ccc","3","0.25","6","-M2","E-","1_i.krn","-M2",NA,NA
"183","V","16bb-","3.25","0.25","5","-M2","E-","1_i.krn","-m2",NA,NA
"184","V","16aa","3.5","0.25","4+","-m2","E-","1_i.krn","+m2",NA,NA
"185","V","16bb-","3.75","0.25","5","+m2","E-","1_i.krn","-m2",NA,NA
"186","V","16aa","4","0.25","4+","-m2","E-","1_i.krn","+m2",NA,NA
"187","V","16bb-","4.25","0.25","5","+m2","E-","1_i.krn","-m2",NA,NA
"188","V","16aa","4.5","0.25","4+","-m2","E-","1_i.krn","+m2",NA,NA
"189","V","16bb-","4.75","0.25","5","+m2","E-","1_i.krn","-M2",NA,NA
"190","V7","4aa-","1","1","4","-M2","E-","1_i.krn","-d3",NA,NA
"191","V7","4ff#","2","1","2+","-d3","E-","1_i.krn","+m2",NA,NA
"192","I","4.gg","3","1.5","3","+m2","E-","1_i.krn","-M2",NA,NA
"193","I","16ff","4.5","0.25","2","-M2","E-","1_i.krn","-M2",NA,NA
"194","I","16ee-","4.75","0.25","1","-M2","E-","1_i.krn","-m2",NA,NA
"195","I","16dd","1","0.25","7","-m2","E-","1_i.krn","-M2",NA,NA
"196","I","16cc","1.25","0.25","6","-M2","E-","1_i.krn","-m2",NA,NA
"197","I","16b","1.5","0.25","5+","-m2","E-","1_i.krn","+m2",NA,NA
"198","I","16cc","1.75","0.25","6","+m2","E-","1_i.krn","-m2",NA,NA
"199","I","16b","2","0.25","5+","-m2","E-","1_i.krn","+m2",NA,NA
"200","I","16cc","2.25","0.25","6","+m2","E-","1_i.krn","+m3",NA,NA
"201","I","16ee-","2.5","0.25","1","+m3","E-","1_i.krn","-m3",NA,NA
"202","I","16cc","2.75","0.25","6","-m3","E-","1_i.krn","-M2",NA,NA
"203","viioD7/V/V","4.b-","3","1.5","5","-M2","E-","1_i.krn","+M2",NA,NA
"205","V7/V","8cc","4.5","0.5","6","+M2","E-","1_i.krn","+M2",NA,NA
"207","V","16dd","1.25","0.25","7","+M2","E-","1_i.krn","+P4",NA,NA
"208","V","16gg","1.5","0.25","3","+P4","E-","1_i.krn","-M2",NA,NA
"209","V","16ff","1.75","0.25","2","-M2","E-","1_i.krn","P1",NA,NA
"210","V","8ff","2","0.5","2","P1","E-","1_i.krn","-m3",NA,NA
"212","V","16dd","3.25","0.25","7","-m3","E-","1_i.krn","+P4",NA,NA
"213","V","16gg","3.5","0.25","3","+P4","E-","1_i.krn","-M2",NA,NA
"214","V","16ff","3.75","0.25","2","-M2","E-","1_i.krn","P1",NA,NA
"215","V","8ff","4","0.5","2","P1","E-","1_i.krn","-m3",NA,NA
"218","V","16dd","1.25","0.25","7","-m3","E-","1_i.krn","+m7",NA,NA
"219","V","16ccc","1.5","0.25","6","+m7","E-","1_i.krn","-M2",NA,NA
"220","V","16bb-","1.75","0.25","5","-M2","E-","1_i.krn","P1",NA,NA
"221","V","8bb-","2","0.5","5","P1","E-","1_i.krn","-M2",NA,NA
"222","V","8aa-","2.5","0.5","4","-M2","E-","1_i.krn","-m2",NA,NA
"223","I","16gg","3","0.25","3","-m2","E-","1_i.krn","+m6",NA,NA
"224","I","16eee-","3.25","0.25","1","+m6","E-","1_i.krn","-m2",NA,NA
"225","I","16ddd","3.5","0.25","7","-m2","E-","1_i.krn","-M2",NA,NA
"226","I","16ccc","3.75","0.25","6","-M2","E-","1_i.krn","+P5",NA,NA
"227","vi","8ggg","4","0.5","3","+P5","E-","1_i.krn","-M10",NA,NA
"230","vi","[2ee-","3","2","1","-M10","E-","1_i.krn","-m2",NA,NA
"232","V","4dd","2","1","7","-m2","E-","1_i.krn","-M2",NA,NA
"233","vi","16cc","3","0.25","6","-M2","E-","1_i.krn","+P5",NA,NA
"234","vi","16gg","3.25","0.25","3","+P5","E-","1_i.krn","-M3",NA,NA
"235","vi","16ee-","3.5","0.25","1","-M3","E-","1_i.krn","-m3",NA,NA
"236","vi","16cc","3.75","0.25","6","-m3","E-","1_i.krn","-M2",NA,NA
"237","V","8b-","4","0.5","5","-M2","E-","1_i.krn","-m2",NA,NA
"238","V7/V","8a","4.5","0.5","4+","-m2","E-","1_i.krn","+m2",NA,NA
"239","V","4b-","1","1","5","+m2","E-","1_i.krn","+M3",NA,NA
"244","V","16dd","2","0.25","7","+M3","E-","1_i.krn","-M3",NA,NA
"245","V","16b-","2.25","0.25","5","-M3","E-","1_i.krn","+M6",NA,NA
"246","V","16gg","2.5","0.25","3","+M6","E-","1_i.krn","-m3",NA,NA
"247","V","16ee","2.75","0.25","1+","-m3","E-","1_i.krn","+m2",NA,NA
"248","V","8ff","3","0.5","2","+m2","E-","1_i.krn","P1",NA,NA
"249","V","8ff","3.5","0.5","2","P1","E-","1_i.krn","-m2",NA,NA
"250","V","16ee","4","0.25","1+","-m2","E-","1_i.krn","+m3",NA,NA
"251","V","16gg","4.25","0.25","3","+m3","E-","1_i.krn","+M2",NA,NA
"252","V","16aa","4.5","0.25","4+","+M2","E-","1_i.krn","+m2",NA,NA
"253","V","16bb-","4.75","0.25","5","+m2","E-","1_i.krn","P1",NA,NA
"254","V/V","8bb-","1","0.5","5","P1","E-","1_i.krn","-m2",NA,NA
"255","V/V","8aa","1.5","0.5","4+","-m2","E-","1_i.krn","-M9",NA,NA
"256","V/V","16g","2","0.25","3","-M9","E-","1_i.krn","-M3",NA,NA
"257","V/V","16e-","2.25","0.25","1","-M3","E-","1_i.krn","+M6",NA,NA
"258","V/V","16cc","2.5","0.25","6","+M6","E-","1_i.krn","-m3",NA,NA
"259","V/V","16a","2.75","0.25","4+","-m3","E-","1_i.krn","+m2",NA,NA
"260","V/V","16b-","3","0.25","5","+m2","E-","1_i.krn","+M2",NA,NA
"261","V/V","16cc","3.25","0.25","6","+M2","E-","1_i.krn","+M2",NA,NA
"262","V/V","16.dd","3.5","0.375","7","+M2","E-","1_i.krn","-M6",NA,NA
"263","V/V","32f","3.875","0.125","2","-M6","E-","1_i.krn","+M2",NA,NA
"264","V/V","16g","4","0.25","3","+M2","E-","1_i.krn","-M3",NA,NA
"265","V/V","16e-","4.25","0.25","1","-M3","E-","1_i.krn","-m3",NA,NA
"266","V/V","16c","4.5","0.25","6","-m3","E-","1_i.krn","-m3",NA,NA
"267","V/V","16A","4.75","0.25","4+","-m3","E-","1_i.krn","+m2",NA,NA
"268","V","4B-","1","1","5","+m2","E-","1_i.krn","+P12",NA,NA
"269","V","16ff","2","0.25","2","+P12","E-","1_i.krn","-m3",NA,NA
"270","V","16dd","2.25","0.25","7","-m3","E-","1_i.krn","+P4",NA,NA
"271","V","16gg","2.5","0.25","3","+P4","E-","1_i.krn","-M3",NA,NA
"272","V","16ee-","2.75","0.25","1","-M3","E-","1_i.krn","+M2",NA,NA
"273","V","8.ff","3","0.75","2","+M2","E-","1_i.krn","-m3",NA,NA
"274","V","16dd","3.75","0.25","7","-m3","E-","1_i.krn","+m2",NA,NA
"275","V","16ee-","4","0.25","1","+m2","E-","1_i.krn","-m3",NA,NA
"276","V","16cc","4.25","0.25","6","-m3","E-","1_i.krn","-M2",NA,NA
"277","I","16b-","4.5","0.25","5","-M2","E-","1_i.krn","-m2",NA,NA
"278","I","16a","4.75","0.25","4+","-m2","E-","1_i.krn","+m2",NA,NA
"279","V","8.b-","1","0.75","5","+m2","E-","1_i.krn","+M3",NA,NA
"280","V","16dd","1.75","0.25","7","+M3","E-","1_i.krn","+m3",NA,NA
"281","V","16ff","2","0.25","2","+m3","E-","1_i.krn","-m3",NA,NA
"282","V","16dd","2.25","0.25","7","-m3","E-","1_i.krn","+P4",NA,NA
"283","V","16gg","2.5","0.25","3","+P4","E-","1_i.krn","-M3",NA,NA
"284","V","16ee-","2.75","0.25","1","-M3","E-","1_i.krn","+M2",NA,NA
"285","V","8.ff","3","0.75","2","+M2","E-","1_i.krn","-m3",NA,NA
"286","V","16dd","3.75","0.25","7","-m3","E-","1_i.krn","+m2",NA,NA
"287","V","16ee-","4","0.25","1","+m2","E-","1_i.krn","-m3",NA,NA
"288","V","16cc","4.25","0.25","6","-m3","E-","1_i.krn","-M2",NA,NA
"289","I","16b-","4.5","0.25","5","-M2","E-","1_i.krn","-m2",NA,NA
"290","I","16a","4.75","0.25","4+","-m2","E-","1_i.krn","+m2",NA,NA
"291","V","[4b-","1","1","5","+m2","E-","1_i.krn","-m2",NA,NA
"293","V","16a","2.25","0.25","4+","-m2","E-","1_i.krn","+m3",NA,NA
"294","V","16cc","2.5","0.25","6","+m3","E-","1_i.krn","-M2",NA,NA
"295","V","16b-","2.75","0.25","5","-M2","E-","1_i.krn","+M3",NA,NA
"296","V","16dd","3","0.25","7","+M3","E-","1_i.krn","-M2",NA,NA
"297","V","16cc","3.25","0.25","6","-M2","E-","1_i.krn","+m3",NA,NA
"298","V","16ee-","3.5","0.25","1","+m3","E-","1_i.krn","-m2",NA,NA
"299","V","16dd","3.75","0.25","7","-m2","E-","1_i.krn","+m3",NA,NA
"300","V","16ff","4","0.25","2","+m3","E-","1_i.krn","-M2",NA,NA
"301","V","16ee-","4.25","0.25","1","-M2","E-","1_i.krn","+M3",NA,NA
"302","V","16gg","4.5","0.25","3","+M3","E-","1_i.krn","-M2",NA,NA
"303","V","16ff","4.75","0.25","2","-M2","E-","1_i.krn","+m3",NA,NA
"304","V","4.aa-","1","1.5","4","+m3","E-","1_i.krn","-m2",NA,NA
"305","V","8gg","2.5","0.5","3","-m2","E-","1_i.krn","-M2",NA,NA
"306","V","8ff","3","0.5","2","-M2","E-","1_i.krn","-M2",NA,NA
"307","V","8ee-","3.5","0.5","1","-M2","E-","1_i.krn","-m2",NA,NA
"308","V","8dd","4","0.5","7","-m2","E-","1_i.krn","-M2",NA,NA
"309","V","8cc","4.5","0.5","6","-M2","E-","1_i.krn","+m6",NA,NA
"310","V","4.aa-","1","1.5","4","+m6","E-","1_i.krn","-m2",NA,NA
"311","V","8gg","2.5","0.5","3","-m2","E-","1_i.krn","-M2",NA,NA
"312","V","8ff","3","0.5","2","-M2","E-","1_i.krn","-M2",NA,NA
"313","V","8ee-","3.5","0.5","1","-M2","E-","1_i.krn","-m2",NA,NA
"314","V","8dd","4","0.5","7","-m2","E-","1_i.krn","-M2",NA,NA
"315","V","8cc","4.5","0.5","6","-M2","E-","1_i.krn","-m2",NA,NA
"316","V/vi","8b","1","0.5","5+","-m2","E-","1_i.krn","+m3",NA,NA
"317","V/vi","8dd","1.5","0.5","7","+m3","E-","1_i.krn","+m2",NA,NA
"318","III","8ee-","2","0.5","1","+m2","E-","1_i.krn","-m3",NA,NA
"319","III","8cc","2.5","0.5","6","-m3","E-","1_i.krn","-m2",NA,NA
"320","III","8b","3","0.5","5+","-m2","E-","1_i.krn","P1",NA,NA
"321","III","8b","3.5","0.5","5+","P1","E-","1_i.krn","+m2",NA,NA
"322","III","8cc","4","0.5","6","+m2","E-","1_i.krn","-d5",NA,NA
"323","III","8f#","4.5","0.5","2+","-d5","E-","1_i.krn","+m2",NA,NA
"324","III","[1g","1","4","3","+m2","E-","1_i.krn","-m2",NA,NA
"326","III","16f#","1.75","0.25","2+","-m2","E-","1_i.krn","+m2",NA,NA
"327","III","8.g","2","0.75","3","+m2","E-","1_i.krn","-m2",NA,NA
"328","III","16f#","2.75","0.25","2+","-m2","E-","1_i.krn","+m2",NA,NA
"329","III","4g","3","1","3","+m2","E-","1_i.krn","P1",NA,NA
"330","III","16g","4","0.25","3","P1","E-","1_i.krn","+m2",NA,NA
"331","III","16a-","4.25","0.25","4","+m2","E-","1_i.krn","-m2",NA,NA
"332","III","16g","4.5","0.25","3","-m2","E-","1_i.krn","+m2",NA,NA
"333","III","16a-","4.75","0.25","4","+m2","E-","1_i.krn","+M2",NA,NA
"334","I","4b-","1","1","5","+M2","E-","1_i.krn","+M2",NA,NA
"335","I","8cc","2","0.5","6","+M2","E-","1_i.krn","-M3",NA,NA
"336","I","8a-","2.5","0.5","4","-M3","E-","1_i.krn","-m2",NA,NA
"337","I","4g","3","1","3","-m2","E-","1_i.krn","+m2",NA,NA
"338","I","8a-","4","0.5","4","+m2","E-","1_i.krn","-m3",NA,NA
"339","I","8f","4.5","0.5","2","-m3","E-","1_i.krn","-M2",NA,NA
"340","I","4e-","1","1","1","-M2","E-","1_i.krn","-m2",NA,NA
"341","I","8d","2","0.5","7","-m2","E-","1_i.krn","-M2",NA,NA
"342","I","8c","2.5","0.5","6","-M2","E-","1_i.krn","-M2",NA,NA
"343","I","8B-","3","0.5","5","-M2","E-","1_i.krn","P1",NA,NA
"344","I","8B-","3.5","0.5","5","P1","E-","1_i.krn","P1",NA,NA
"345","I","8B-","4","0.5","5","P1","E-","1_i.krn","P1",NA,NA
"346","I","8B-","4.5","0.5","5","P1","E-","1_i.krn","P1",NA,NA
"347","I","4.B-","1","1.5","5","P1","E-","1_i.krn","+M2",NA,NA
"348","I","16c","2.5","0.25","6","+M2","E-","1_i.krn","+M2",NA,NA
"349","I","16d","2.75","0.25","7","+M2","E-","1_i.krn","+m2",NA,NA
"350","I","8e-","3","0.5","1","+m2","E-","1_i.krn","+P8",NA,NA
"351","I","8ee-","3.5","0.5","1","+P8","E-","1_i.krn","P1",NA,NA
"352","I","8ee-","4","0.5","1","P1","E-","1_i.krn","P1",NA,NA
"353","I","8ee-","4.5","0.5","1","P1","E-","1_i.krn","P1",NA,NA
"354","I","4.ee-","1","1.5","1","P1","E-","1_i.krn","+M2",NA,NA
"355","I","16ff","2.5","0.25","2","+M2","E-","1_i.krn","+M2",NA,NA
"356","I","16gg","2.75","0.25","3","+M2","E-","1_i.krn","+m2",NA,NA
"357","ii","8aa-","3","0.5","4","+m2","E-","1_i.krn","-m6",NA,NA
"358","ii","8cc","3.5","0.5","6","-m6","E-","1_i.krn","P1",NA,NA
"359","ii","8cc","4","0.5","6","P1","E-","1_i.krn","P1",NA,NA
"360","ii","8cc","4.5","0.5","6","P1","E-","1_i.krn","P1",NA,NA
"361","ii","4.cc","1","1.5","6","P1","E-","1_i.krn","+M2",NA,NA
