"","X","harm","melody","beat_pos","duration","scale_deg","approaching","key","file","depart","Response","Chordnotes"
"25",25,"I","4b-",1,1,"5","-P4","E-","1_i.krn","-M2",1,"1 5 3"
"26",26,"V7","4a-",2,1,"4","-M2","E-","1_i.krn","-m2",1,"5 2 7 4 3+"
"27",27,"I","4g",3,1,"3","-m2","E-","1_i.krn","+m3",1,"1 5 3"
"28",29,"I","4b-",1,1,"5","+m3","E-","1_i.krn","+M2",1,"1 5 3"
"29",30,"I","8cc",2,0.5,"6","+M2","E-","1_i.krn","-M3",0,"1 5 3"
"30",31,"I","8a-",2.5,0.5,"4","-M3","E-","1_i.krn","-m2",0,"1 5 3"
"31",32,"I","4g",3,1,"3","-m2","E-","1_i.krn","+m2",1,"1 5 3"
"32",33,"I","8a-",4,0.5,"4","+m2","E-","1_i.krn","-m3",0,"1 5 3"
"33",34,"I","8f",4.5,0.5,"2","-m3","E-","1_i.krn","-M2",0,"1 5 3"
"34",35,"I","4e-",1,1,"1","-M2","E-","1_i.krn","+M2",1,"1 5 3"
"35",36,"I","8.f",2,0.75,"2","+M2","E-","1_i.krn","-M2",0,"1 5 3"
"36",37,"I","32e-",2.75,0.125,"1","-M2","E-","1_i.krn","+M2",1,"1 5 3"
"37",38,"I","32f",2.875,0.125,"2","+M2","E-","1_i.krn","+M2",0,"1 5 3"
"38",39,"I","4g",3,1,"3","+M2","E-","1_i.krn","+M2",1,"1 5 3"
"39",40,"V7/V","8.a",4,0.75,"4+","+M2","E-","1_i.krn","-M2",1,"2 6 4+ 1 7+"
"40",41,"V7/V","32g",4.75,0.125,"3","-M2","E-","1_i.krn","+M2",0,"2 6 4+ 1 7+"
"41",42,"V7/V","32a",4.875,0.125,"4+","+M2","E-","1_i.krn","+m2",1,"2 6 4+ 1 7+"
"42",43,"V","4b-",1,1,"5","+m2","E-","1_i.krn","+M3",1,"5 2 7"
"43",50,"V","8dd",1.5,0.5,"7","+M3","E-","1_i.krn","-M2",1,"5 2 7"
"44",51,"V","8cc",2,0.5,"6","-M2","E-","1_i.krn","-P5",0,"5 2 7"
"45",52,"V","8f",2.5,0.5,"2","-P5","E-","1_i.krn","+P4",1,"5 2 7"
"46",53,"V7","8b-",3,0.5,"5","+P4","E-","1_i.krn","-P8",1,"5 2 7 4 3+"
"47",54,"V7","8B-",3.5,0.5,"5","-P8","E-","1_i.krn","P1",1,"5 2 7 4 3+"
"48",56,"V7","8B-",4.5,0.5,"5","P1","E-","1_i.krn","+P8",1,"5 2 7 4 3+"
"49",57,"I","4b-",1,1,"5","+P8","E-","1_i.krn","+M2",1,"1 5 3"
"50",58,"I","16cc",2,0.25,"6","+M2","E-","1_i.krn","-M3",0,"1 5 3"
"51",59,"I","16a-",2.25,0.25,"4","-M3","E-","1_i.krn","+M3",0,"1 5 3"
"52",60,"I","16cc",2.5,0.25,"6","+M3","E-","1_i.krn","-M3",0,"1 5 3"
"53",61,"I","16a-",2.75,0.25,"4","-M3","E-","1_i.krn","-m2",0,"1 5 3"
"54",62,"I","4g",3,1,"3","-m2","E-","1_i.krn","+P8",1,"1 5 3"
"55",64,"I","4gg",1,1,"3","+P8","E-","1_i.krn","+m2",1,"1 5 3"
"56",65,"I","16aa-",2,0.25,"4","+m2","E-","1_i.krn","-m3",0,"1 5 3"
"57",66,"I","16ff",2.25,0.25,"2","-m3","E-","1_i.krn","+m3",0,"1 5 3"
"58",67,"I","16aa-",2.5,0.25,"4","+m3","E-","1_i.krn","-m3",0,"1 5 3"
"59",68,"I","16ff",2.75,0.25,"2","-m3","E-","1_i.krn","-M2",0,"1 5 3"
"60",69,"I","16ee-",3,0.25,"1","-M2","E-","1_i.krn","-m2",1,"1 5 3"
"61",70,"I","16dd",3.25,0.25,"7","-m2","E-","1_i.krn","+m2",0,"1 5 3"
"62",71,"I","16ee-",3.5,0.25,"1","+m2","E-","1_i.krn","-P4",1,"1 5 3"
"63",72,"I","16b-",3.75,0.25,"5","-P4","E-","1_i.krn","-M2",1,"1 5 3"
"64",73,"I","16a-",4,0.25,"4","-M2","E-","1_i.krn","-m2",0,"1 5 3"
"65",74,"I","16g",4.25,0.25,"3","-m2","E-","1_i.krn","-M2",1,"1 5 3"
"66",75,"I","16f",4.5,0.25,"2","-M2","E-","1_i.krn","-M2",0,"1 5 3"
"67",76,"I","16e-",4.75,0.25,"1","-M2","E-","1_i.krn","-m2",1,"1 5 3"
"68",77,"V","8d",1,0.5,"7","-m2","E-","1_i.krn","+m6",1,"5 2 7"
"69",78,"V","8b-",1.5,0.5,"5","+m6","E-","1_i.krn","P1",1,"5 2 7"
"70",79,"V","8b-",2,0.5,"5","P1","E-","1_i.krn","P1",1,"5 2 7"
"71",80,"V","8b-",2.5,0.5,"5","P1","E-","1_i.krn","+P4",1,"5 2 7"
"72",81,"I","16ee-",3,0.25,"1","+P4","E-","1_i.krn","-m2",1,"1 5 3"
"73",82,"I","16dd",3.25,0.25,"7","-m2","E-","1_i.krn","+m2",0,"1 5 3"
"74",83,"I","16ee-",3.5,0.25,"1","+m2","E-","1_i.krn","-P4",1,"1 5 3"
"75",84,"I","16b-",3.75,0.25,"5","-P4","E-","1_i.krn","-M2",1,"1 5 3"
"76",85,"I","16a-",4,0.25,"4","-M2","E-","1_i.krn","-m2",0,"1 5 3"
"77",86,"I","16g",4.25,0.25,"3","-m2","E-","1_i.krn","-M2",1,"1 5 3"
"78",87,"I","16f",4.5,0.25,"2","-M2","E-","1_i.krn","-M2",0,"1 5 3"
"79",88,"I","16e-",4.75,0.25,"1","-M2","E-","1_i.krn","-m2",1,"1 5 3"
"80",89,"V","8d",1,0.5,"7","-m2","E-","1_i.krn","+m6",1,"5 2 7"
"81",90,"V","8b-",1.5,0.5,"5","+m6","E-","1_i.krn","P1",1,"5 2 7"
"82",91,"V","8b-",2,0.5,"5","P1","E-","1_i.krn","P1",1,"5 2 7"
"83",92,"V","8b-",2.5,0.5,"5","P1","E-","1_i.krn","+P4",1,"5 2 7"
"84",93,"vi","8ee-",3,0.5,"1","+P4","E-","1_i.krn","P1",1,"6 3 1 7+"
"85",94,"vi","8ee-",3.5,0.5,"1","P1","E-","1_i.krn","P1",1,"6 3 1 7+"
"86",95,"V7/V","8ee-",4,0.5,"1","P1","E-","1_i.krn","P1",1,"2 6 4+ 1 7+"
"87",96,"V7/V","8ee-",4.5,0.5,"1","P1","E-","1_i.krn","P1",1,"2 6 4+ 1 7+"
"88",97,"V","2ee-",1,2,"1","P1","E-","1_i.krn","-m2",0,"5 2 7"
"89",98,"V","4dd",3,1,"7","-m2","E-","1_i.krn","d1",1,"5 2 7"
"90",101,"V7/ii","4.dd-",3,1.5,"7-","d1","E-","1_i.krn","-m2",0,"6 3 1+ 5 4++"
"91",102,"V7/ii","8cc",4.5,0.5,"6","-m2","E-","1_i.krn","P1",1,"6 3 1+ 5 4++"
"92",103,"V7/ii","[2cc",1,2,"6","P1","E-","1_i.krn","+M3",1,"6 3 1+ 5 4++"
"93",105,"ii","16ee",3.25,0.25,"1+","+M3","E-","1_i.krn","+m2",0,"2 6 4 3+"
"94",106,"ii","16ff",3.5,0.25,"2","+m2","E-","1_i.krn","+M2",1,"2 6 4 3+"
"95",107,"ii","16gg",3.75,0.25,"3","+M2","E-","1_i.krn","+m2",0,"2 6 4 3+"
"96",108,"ii","16aa-",4,0.25,"4","+m2","E-","1_i.krn","-m2",1,"2 6 4 3+"
"97",109,"ii","16gg",4.25,0.25,"3","-m2","E-","1_i.krn","+m3",0,"2 6 4 3+"
"98",110,"ii","16bb-",4.5,0.25,"5","+m3","E-","1_i.krn","-M2",0,"2 6 4 3+"
"99",111,"ii","16aa-",4.75,0.25,"4","-M2","E-","1_i.krn","+M3",1,"2 6 4 3+"
"100",112,"ii","8ccc",1,0.5,"6","+M3","E-","1_i.krn","-M2",1,"2 6 4 3+"
"101",114,"ii","16bb-",1.75,0.25,"5","-M2","E-","1_i.krn","-M2",0,"2 6 4 3+"
"102",115,"ii","8aa-",2,0.5,"4","-M2","E-","1_i.krn","-m2",1,"2 6 4 3+"
"103",117,"ii","16gg",2.75,0.25,"3","-m2","E-","1_i.krn","-M2",0,"2 6 4 3+"
"104",118,"ii","8ff",3,0.5,"2","-M2","E-","1_i.krn","+M2",1,"2 6 4 3+"
"105",121,"ii","16gg",4.75,0.25,"3","+M2","E-","1_i.krn","+m2",0,"2 6 4 3+"
"106",122,"ii","8aa-",1,0.5,"4","+m2","E-","1_i.krn","-m2",1,"2 6 4 3+"
"107",124,"ii","16gg",1.75,0.25,"3","-m2","E-","1_i.krn","-M2",0,"2 6 4 3+"
"108",125,"ii","8ff",2,0.5,"2","-M2","E-","1_i.krn","-M2",1,"2 6 4 3+"
"109",127,"ii","16ee-",2.75,0.25,"1","-M2","E-","1_i.krn","-m2",0,"2 6 4 3+"
"110",128,"viioD7","4.dd",3,1.5,"7","-m2","E-","1_i.krn","+m2",1,"7 2 4 5+ 1++ 3+"
"111",129,"I","8ee-",4.5,0.5,"1","+m2","E-","1_i.krn","P1",1,"1 5 3"
"112",130,"I","[4ee-",1,1,"1","P1","E-","1_i.krn","-m2",1,"1 5 3"
"113",132,"I","16dd",2.25,0.25,"7","-m2","E-","1_i.krn","+m3",0,"1 5 3"
"114",133,"I","16ff",2.5,0.25,"2","+m3","E-","1_i.krn","-M2",0,"1 5 3"
"115",134,"I","16ee-",2.75,0.25,"1","-M2","E-","1_i.krn","+M3",1,"1 5 3"
"116",135,"I","8gg",3,0.5,"3","+M3","E-","1_i.krn","P1",1,"1 5 3"
"117",136,"I","8gg",3.5,0.5,"3","P1","E-","1_i.krn","P1",1,"1 5 3"
"118",137,"I","8gg",4,0.5,"3","P1","E-","1_i.krn","P1",1,"1 5 3"
"119",138,"I","8gg",4.5,0.5,"3","P1","E-","1_i.krn","-m6",1,"1 5 3"
"120",139,"viioD7/vi","4b",1,1,"5+","-m6","E-","1_i.krn","+m2",1,"5+ 7 2 3+ 6++ 1++"
"121",140,"vi","8cc",2,0.5,"6","+m2","E-","1_i.krn","+P5",1,"6 3 1 7+"
"122",141,"vi","16gg",2.5,0.25,"3","+P5","E-","1_i.krn","-M3",1,"6 3 1 7+"
"123",142,"vi","16ee-",2.75,0.25,"1","-M3","E-","1_i.krn","-m2",1,"6 3 1 7+"
"124",143,"V","4dd",3,1,"7","-m2","E-","1_i.krn","-M2",1,"5 2 7"
"125",144,"V","8cc",4,0.5,"6","-M2","E-","1_i.krn","-M2",0,"5 2 7"
"126",145,"V","32b-",4.5,0.125,"5","-M2","E-","1_i.krn","+P8",1,"5 2 7"
"127",146,"V","16.bb-",4.625,0.375,"5","+P8","E-","1_i.krn","-m2",1,"5 2 7"
"128",147,"I","32aa",1,0.125,"4+","-m2","E-","1_i.krn","-M2",0,"1 5 3"
"129",148,"I","16.gg",1.125,0.375,"3","-M2","E-","1_i.krn","-M2",1,"1 5 3"
"130",149,"I","32ff",1.5,0.125,"2","-M2","E-","1_i.krn","-M2",0,"1 5 3"
"131",150,"I","16.ee-",1.625,0.375,"1","-M2","E-","1_i.krn","-m2",1,"1 5 3"
"132",151,"I","32dd",2,0.125,"7","-m2","E-","1_i.krn","-M2",0,"1 5 3"
"133",152,"I","16.cc",2.125,0.375,"6","-M2","E-","1_i.krn","+P5",0,"1 5 3"
"134",153,"I","32gg",2.5,0.125,"3","+P5","E-","1_i.krn","-M6",1,"1 5 3"
"135",154,"I","16.b-",2.625,0.375,"5","-M6","E-","1_i.krn","P1",1,"1 5 3"
"136",155,"V","4b-",3,1,"5","P1","E-","1_i.krn","-m2",1,"5 2 7"
"137",156,"V/V","8a",4,0.5,"4+","-m2","E-","1_i.krn","-M2",1,"2 6 4+"
"138",157,"V/V","8g",4.5,0.5,"3","-M2","E-","1_i.krn","P1",0,"2 6 4+"
"139",158,"V/V","4g",1,1,"3","P1","E-","1_i.krn","-M2",0,"2 6 4+"
"140",159,"V/V","8f",2,0.5,"2","-M2","E-","1_i.krn","-m2",1,"2 6 4+"
"141",160,"V/V","8e",2.5,0.5,"1+","-m2","E-","1_i.krn","P1",0,"2 6 4+"
"142",161,"V/V","4.e",3,1.5,"1+","P1","E-","1_i.krn","+m3",0,"2 6 4+"
"143",162,"V/V","16g",4.5,0.25,"3","+m3","E-","1_i.krn","-M2",0,"2 6 4+"
"144",163,"V/V","16f",4.75,0.25,"2","-M2","E-","1_i.krn","P1",1,"2 6 4+"
"145",164,"V/V","4.f",1,1.5,"2","P1","E-","1_i.krn","-m6",1,"2 6 4+"
"146",165,"V/V","8A",2.5,0.5,"4+","-m6","E-","1_i.krn","+m2",1,"2 6 4+"
"147",166,"V","16B-",3,0.25,"5","+m2","E-","1_i.krn","+P5",1,"5 2 7"
"148",167,"V","16f",3.25,0.25,"2","+P5","E-","1_i.krn","-m3",1,"5 2 7"
"149",168,"V","16d",3.5,0.25,"7","-m3","E-","1_i.krn","+m6",1,"5 2 7"
"150",169,"V","16b-",3.75,0.25,"5","+m6","E-","1_i.krn","-P4",1,"5 2 7"
"151",170,"V","16f",4,0.25,"2","-P4","E-","1_i.krn","+M6",1,"5 2 7"
"152",171,"V","16dd",4.25,0.25,"7","+M6","E-","1_i.krn","-M3",1,"5 2 7"
"153",172,"V","16b-",4.5,0.25,"5","-M3","E-","1_i.krn","+P5",1,"5 2 7"
"154",173,"V","16ff",4.75,0.25,"2","+P5","E-","1_i.krn","-m3",1,"5 2 7"
"155",174,"V","16dd",1,0.25,"7","-m3","E-","1_i.krn","+m6",1,"5 2 7"
"156",175,"V","16bb-",1.25,0.25,"5","+m6","E-","1_i.krn","-P4",1,"5 2 7"
"157",176,"V","16ff",1.5,0.25,"2","-P4","E-","1_i.krn","+M6",1,"5 2 7"
"158",177,"V","16ddd",1.75,0.25,"7","+M6","E-","1_i.krn","-M3",1,"5 2 7"
"159",178,"V","16bb-",2,0.25,"5","-M3","E-","1_i.krn","+P5",1,"5 2 7"
"160",179,"V","16fff",2.25,0.25,"2","+P5","E-","1_i.krn","-M2",1,"5 2 7"
"161",180,"V","16eee-",2.5,0.25,"1","-M2","E-","1_i.krn","-m2",0,"5 2 7"
"162",181,"V","16ddd",2.75,0.25,"7","-m2","E-","1_i.krn","-M2",1,"5 2 7"
"163",182,"V","16ccc",3,0.25,"6","-M2","E-","1_i.krn","-M2",0,"5 2 7"
"164",183,"V","16bb-",3.25,0.25,"5","-M2","E-","1_i.krn","-m2",1,"5 2 7"
"165",184,"V","16aa",3.5,0.25,"4+","-m2","E-","1_i.krn","+m2",0,"5 2 7"
"166",185,"V","16bb-",3.75,0.25,"5","+m2","E-","1_i.krn","-m2",1,"5 2 7"
"167",186,"V","16aa",4,0.25,"4+","-m2","E-","1_i.krn","+m2",0,"5 2 7"
"168",187,"V","16bb-",4.25,0.25,"5","+m2","E-","1_i.krn","-m2",1,"5 2 7"
"169",188,"V","16aa",4.5,0.25,"4+","-m2","E-","1_i.krn","+m2",0,"5 2 7"
"170",189,"V","16bb-",4.75,0.25,"5","+m2","E-","1_i.krn","-M2",1,"5 2 7"
"171",190,"V7","4aa-",1,1,"4","-M2","E-","1_i.krn","-d3",1,"5 2 7 4 3+"
"172",191,"V7","4ff#",2,1,"2+","-d3","E-","1_i.krn","+m2",0,"5 2 7 4 3+"
"173",192,"I","4.gg",3,1.5,"3","+m2","E-","1_i.krn","-M2",1,"1 5 3"
"174",193,"I","16ff",4.5,0.25,"2","-M2","E-","1_i.krn","-M2",0,"1 5 3"
"175",194,"I","16ee-",4.75,0.25,"1","-M2","E-","1_i.krn","-m2",1,"1 5 3"
"176",195,"I","16dd",1,0.25,"7","-m2","E-","1_i.krn","-M2",0,"1 5 3"
"177",196,"I","16cc",1.25,0.25,"6","-M2","E-","1_i.krn","-m2",0,"1 5 3"
"178",197,"I","16b",1.5,0.25,"5+","-m2","E-","1_i.krn","+m2",0,"1 5 3"
"179",198,"I","16cc",1.75,0.25,"6","+m2","E-","1_i.krn","-m2",0,"1 5 3"
"180",199,"I","16b",2,0.25,"5+","-m2","E-","1_i.krn","+m2",0,"1 5 3"
"181",200,"I","16cc",2.25,0.25,"6","+m2","E-","1_i.krn","+m3",0,"1 5 3"
"182",201,"I","16ee-",2.5,0.25,"1","+m3","E-","1_i.krn","-m3",1,"1 5 3"
"183",202,"I","16cc",2.75,0.25,"6","-m3","E-","1_i.krn","-M2",0,"1 5 3"
"185",205,"V7/V","8cc",4.5,0.5,"6","+M2","E-","1_i.krn","+M2",1,"2 6 4+ 1 7+"
"186",207,"V","16dd",1.25,0.25,"7","+M2","E-","1_i.krn","+P4",1,"5 2 7"
"187",208,"V","16gg",1.5,0.25,"3","+P4","E-","1_i.krn","-M2",0,"5 2 7"
"188",209,"V","16ff",1.75,0.25,"2","-M2","E-","1_i.krn","P1",1,"5 2 7"
"189",210,"V","8ff",2,0.5,"2","P1","E-","1_i.krn","-m3",1,"5 2 7"
"190",212,"V","16dd",3.25,0.25,"7","-m3","E-","1_i.krn","+P4",1,"5 2 7"
"191",213,"V","16gg",3.5,0.25,"3","+P4","E-","1_i.krn","-M2",0,"5 2 7"
"192",214,"V","16ff",3.75,0.25,"2","-M2","E-","1_i.krn","P1",1,"5 2 7"
"193",215,"V","8ff",4,0.5,"2","P1","E-","1_i.krn","-m3",1,"5 2 7"
"194",218,"V","16dd",1.25,0.25,"7","-m3","E-","1_i.krn","+m7",1,"5 2 7"
"195",219,"V","16ccc",1.5,0.25,"6","+m7","E-","1_i.krn","-M2",0,"5 2 7"
"196",220,"V","16bb-",1.75,0.25,"5","-M2","E-","1_i.krn","P1",1,"5 2 7"
"197",221,"V","8bb-",2,0.5,"5","P1","E-","1_i.krn","-M2",1,"5 2 7"
"198",222,"V","8aa-",2.5,0.5,"4","-M2","E-","1_i.krn","-m2",0,"5 2 7"
"199",223,"I","16gg",3,0.25,"3","-m2","E-","1_i.krn","+m6",1,"1 5 3"
"200",224,"I","16eee-",3.25,0.25,"1","+m6","E-","1_i.krn","-m2",1,"1 5 3"
"201",225,"I","16ddd",3.5,0.25,"7","-m2","E-","1_i.krn","-M2",0,"1 5 3"
"202",226,"I","16ccc",3.75,0.25,"6","-M2","E-","1_i.krn","+P5",0,"1 5 3"
"203",227,"vi","8ggg",4,0.5,"3","+P5","E-","1_i.krn","-M10",1,"6 3 1 7+"
"204",230,"vi","[2ee-",3,2,"1","-M10","E-","1_i.krn","-m2",1,"6 3 1 7+"
"205",232,"V","4dd",2,1,"7","-m2","E-","1_i.krn","-M2",1,"5 2 7"
"206",233,"vi","16cc",3,0.25,"6","-M2","E-","1_i.krn","+P5",1,"6 3 1 7+"
"207",234,"vi","16gg",3.25,0.25,"3","+P5","E-","1_i.krn","-M3",1,"6 3 1 7+"
"208",235,"vi","16ee-",3.5,0.25,"1","-M3","E-","1_i.krn","-m3",1,"6 3 1 7+"
"209",236,"vi","16cc",3.75,0.25,"6","-m3","E-","1_i.krn","-M2",1,"6 3 1 7+"
"210",237,"V","8b-",4,0.5,"5","-M2","E-","1_i.krn","-m2",1,"5 2 7"
"211",238,"V7/V","8a",4.5,0.5,"4+","-m2","E-","1_i.krn","+m2",1,"2 6 4+ 1 7+"
"212",239,"V","4b-",1,1,"5","+m2","E-","1_i.krn","+M3",1,"5 2 7"
"213",244,"V","16dd",2,0.25,"7","+M3","E-","1_i.krn","-M3",1,"5 2 7"
"214",245,"V","16b-",2.25,0.25,"5","-M3","E-","1_i.krn","+M6",1,"5 2 7"
"215",246,"V","16gg",2.5,0.25,"3","+M6","E-","1_i.krn","-m3",0,"5 2 7"
"216",247,"V","16ee",2.75,0.25,"1+","-m3","E-","1_i.krn","+m2",0,"5 2 7"
"217",248,"V","8ff",3,0.5,"2","+m2","E-","1_i.krn","P1",1,"5 2 7"
"218",249,"V","8ff",3.5,0.5,"2","P1","E-","1_i.krn","-m2",1,"5 2 7"
"219",250,"V","16ee",4,0.25,"1+","-m2","E-","1_i.krn","+m3",0,"5 2 7"
"220",251,"V","16gg",4.25,0.25,"3","+m3","E-","1_i.krn","+M2",0,"5 2 7"
"221",252,"V","16aa",4.5,0.25,"4+","+M2","E-","1_i.krn","+m2",0,"5 2 7"
"222",253,"V","16bb-",4.75,0.25,"5","+m2","E-","1_i.krn","P1",1,"5 2 7"
"223",254,"V/V","8bb-",1,0.5,"5","P1","E-","1_i.krn","-m2",0,"2 6 4+"
"224",255,"V/V","8aa",1.5,0.5,"4+","-m2","E-","1_i.krn","-M9",1,"2 6 4+"
"225",256,"V/V","16g",2,0.25,"3","-M9","E-","1_i.krn","-M3",0,"2 6 4+"
"226",257,"V/V","16e-",2.25,0.25,"1","-M3","E-","1_i.krn","+M6",0,"2 6 4+"
"227",258,"V/V","16cc",2.5,0.25,"6","+M6","E-","1_i.krn","-m3",1,"2 6 4+"
"228",259,"V/V","16a",2.75,0.25,"4+","-m3","E-","1_i.krn","+m2",1,"2 6 4+"
"229",260,"V/V","16b-",3,0.25,"5","+m2","E-","1_i.krn","+M2",0,"2 6 4+"
"230",261,"V/V","16cc",3.25,0.25,"6","+M2","E-","1_i.krn","+M2",1,"2 6 4+"
"231",262,"V/V","16.dd",3.5,0.375,"7","+M2","E-","1_i.krn","-M6",0,"2 6 4+"
"232",263,"V/V","32f",3.875,0.125,"2","-M6","E-","1_i.krn","+M2",1,"2 6 4+"
"233",264,"V/V","16g",4,0.25,"3","+M2","E-","1_i.krn","-M3",0,"2 6 4+"
"234",265,"V/V","16e-",4.25,0.25,"1","-M3","E-","1_i.krn","-m3",0,"2 6 4+"
"235",266,"V/V","16c",4.5,0.25,"6","-m3","E-","1_i.krn","-m3",1,"2 6 4+"
"236",267,"V/V","16A",4.75,0.25,"4+","-m3","E-","1_i.krn","+m2",1,"2 6 4+"
"237",268,"V","4B-",1,1,"5","+m2","E-","1_i.krn","+P12",1,"5 2 7"
"238",269,"V","16ff",2,0.25,"2","+P12","E-","1_i.krn","-m3",1,"5 2 7"
"239",270,"V","16dd",2.25,0.25,"7","-m3","E-","1_i.krn","+P4",1,"5 2 7"
"240",271,"V","16gg",2.5,0.25,"3","+P4","E-","1_i.krn","-M3",0,"5 2 7"
"241",272,"V","16ee-",2.75,0.25,"1","-M3","E-","1_i.krn","+M2",0,"5 2 7"
"242",273,"V","8.ff",3,0.75,"2","+M2","E-","1_i.krn","-m3",1,"5 2 7"
"243",274,"V","16dd",3.75,0.25,"7","-m3","E-","1_i.krn","+m2",1,"5 2 7"
"244",275,"V","16ee-",4,0.25,"1","+m2","E-","1_i.krn","-m3",0,"5 2 7"
"245",276,"V","16cc",4.25,0.25,"6","-m3","E-","1_i.krn","-M2",0,"5 2 7"
"246",277,"I","16b-",4.5,0.25,"5","-M2","E-","1_i.krn","-m2",1,"1 5 3"
"247",278,"I","16a",4.75,0.25,"4+","-m2","E-","1_i.krn","+m2",0,"1 5 3"
"248",279,"V","8.b-",1,0.75,"5","+m2","E-","1_i.krn","+M3",1,"5 2 7"
"249",280,"V","16dd",1.75,0.25,"7","+M3","E-","1_i.krn","+m3",1,"5 2 7"
"250",281,"V","16ff",2,0.25,"2","+m3","E-","1_i.krn","-m3",1,"5 2 7"
"251",282,"V","16dd",2.25,0.25,"7","-m3","E-","1_i.krn","+P4",1,"5 2 7"
"252",283,"V","16gg",2.5,0.25,"3","+P4","E-","1_i.krn","-M3",0,"5 2 7"
"253",284,"V","16ee-",2.75,0.25,"1","-M3","E-","1_i.krn","+M2",0,"5 2 7"
"254",285,"V","8.ff",3,0.75,"2","+M2","E-","1_i.krn","-m3",1,"5 2 7"
"255",286,"V","16dd",3.75,0.25,"7","-m3","E-","1_i.krn","+m2",1,"5 2 7"
"256",287,"V","16ee-",4,0.25,"1","+m2","E-","1_i.krn","-m3",0,"5 2 7"
"257",288,"V","16cc",4.25,0.25,"6","-m3","E-","1_i.krn","-M2",0,"5 2 7"
"258",289,"I","16b-",4.5,0.25,"5","-M2","E-","1_i.krn","-m2",1,"1 5 3"
"259",290,"I","16a",4.75,0.25,"4+","-m2","E-","1_i.krn","+m2",0,"1 5 3"
"260",291,"V","[4b-",1,1,"5","+m2","E-","1_i.krn","-m2",1,"5 2 7"
"261",293,"V","16a",2.25,0.25,"4+","-m2","E-","1_i.krn","+m3",0,"5 2 7"
"262",294,"V","16cc",2.5,0.25,"6","+m3","E-","1_i.krn","-M2",0,"5 2 7"
"263",295,"V","16b-",2.75,0.25,"5","-M2","E-","1_i.krn","+M3",1,"5 2 7"
"264",296,"V","16dd",3,0.25,"7","+M3","E-","1_i.krn","-M2",1,"5 2 7"
"265",297,"V","16cc",3.25,0.25,"6","-M2","E-","1_i.krn","+m3",0,"5 2 7"
"266",298,"V","16ee-",3.5,0.25,"1","+m3","E-","1_i.krn","-m2",0,"5 2 7"
"267",299,"V","16dd",3.75,0.25,"7","-m2","E-","1_i.krn","+m3",1,"5 2 7"
"268",300,"V","16ff",4,0.25,"2","+m3","E-","1_i.krn","-M2",1,"5 2 7"
"269",301,"V","16ee-",4.25,0.25,"1","-M2","E-","1_i.krn","+M3",0,"5 2 7"
"270",302,"V","16gg",4.5,0.25,"3","+M3","E-","1_i.krn","-M2",0,"5 2 7"
"271",303,"V","16ff",4.75,0.25,"2","-M2","E-","1_i.krn","+m3",1,"5 2 7"
