"","X","function.","harm","melody","beat_pos","duration","scale_deg","approaching","key","file","ArrByRest","DepByRest","depart","Response","Chordnotes"
"45",51,"4P","IV/III","8bb-J)",2.5,0.5,"7-","-M2","c","cat_themes.krn",0,0,"P1",0,"6- 3- 1"
"46",52,"4D","C/III","8bb-",3,0.5,"7-","P1","c","cat_themes.krn",0,0,"-M2",1,"7- 3- 5 2+"
"47",53,"4D","C/III","8aa-",3.5,0.5,"6","-M2","c","cat_themes.krn",0,0,"-m2",0,"7- 3- 5 2+"
"48",54,"4D","V/III","8gg",4,0.5,"5","-m2","c","cat_themes.krn",0,0,"-M2",0,"7- 4 2"
"49",55,"4D","V/III","8ff",4.5,0.5,"4","-M2","c","cat_themes.krn",0,0,"-M2",1,"7- 4 2"
"50",56,"1T","I/III","4ee-",1,1,"3","-M2","c","cat_themes.krn",0,0,"P1",0,"3- 7- 5"
"51",57,"1T","I/III","8.ee-",2,0.75,"3","P1","c","cat_themes.krn",0,0,"P1",0,"3- 7- 5"
"52",58,"1T","I/III","16ee-",2.75,0.25,"3","P1","c","cat_themes.krn",0,0,"P1",0,"3- 7- 5"
"53",59,"1T","I/III","2ee-",3,2,"3","P1","c","cat_themes.krn",0,0,"[bb-]",0,"3- 7- 5"
"54",60,"2T","III","4bb-",1,1,"7-","[bb-]","c","cat_themes.krn",0,0,"P1",0,"3 7 5+"
"55",61,"2T","III","8.bb-L",2,0.75,"7-","P1","c","cat_themes.krn",0,0,"P1",0,"3 7 5+"
"56",63,"2T","III","16bb-Jk",2.75,0.25,"7-","P1","c","cat_themes.krn",0,0,"+M2",0,"3 7 5+"
"57",64,"2T","V/iv","(8cccL",3,0.5,"1","+M2","c","cat_themes.krn",0,0,"-M2",1,"1 5 3"
"58",65,"2T","V/iv","8bb-",3.5,0.5,"7-","-M2","c","cat_themes.krn",0,0,"-M2",0,"1 5 3"
"59",66,"2T","V/iv","8aa-",4,0.5,"6","-M2","c","cat_themes.krn",0,0,"-m2",0,"1 5 3"
"60",67,"2T","V/iv","8ggJ)",4.5,0.5,"5","-m2","c","cat_themes.krn",0,0,"+m2",1,"1 5 3"
"61",68,"1T","iv","4aa-",1,1,"6","+m2","c","cat_themes.krn",0,0,"-m3",0,"4 1 6- 5+"
"62",69,"1T","iv","8.ff",2,0.75,"4","-m3","c","cat_themes.krn",0,0,"P1",1,"4 1 6- 5+"
"63",70,"1T","iv","16ff",2.75,0.25,"4","P1","c","cat_themes.krn",0,0,"P1",1,"4 1 6- 5+"
"64",71,"1T","iv","2ff",3,2,"4","P1","c","cat_themes.krn",0,0,"+M2",1,"4 1 6- 5+"
"65",72,"4T","i","4gg",1,1,"5","+M2","c","cat_themes.krn",0,0,"P1",1,"1 5 3- 2+"
"66",73,"4T","i","8.gg",2,0.75,"5","P1","c","cat_themes.krn",0,0,"P1",1,"1 5 3- 2+"
"67",74,"4T","i","16gg",2.75,0.25,"5","P1","c","cat_themes.krn",0,0,"+m2",1,"1 5 3- 2+"
"68",75,"4P","iv","8aa-",3,0.5,"6","+m2","c","cat_themes.krn",0,0,"-m2",0,"4 1 6- 5+"
"69",76,"4P","iv","8gg",3.5,0.5,"5","-m2","c","cat_themes.krn",0,0,"-M2",0,"4 1 6- 5+"
"70",77,"4D","V/V","8ff",4,0.5,"4","-M2","c","cat_themes.krn",0,0,"-M2",0,"2 6 4+"
"71",78,"4D","V/V","8ee-",4.5,0.5,"3","-M2","c","cat_themes.krn",0,0,"-m2",0,"2 6 4+"
"72",79,"1D","V","4dd",1,1,"2","-m2","c","cat_themes.krn",0,0,"P1",1,"5 2 7"
"73",80,"1D","V","8.dd",2,0.75,"2","P1","c","cat_themes.krn",0,0,"P1",1,"5 2 7"
"74",81,"1D","V","16dd",2.75,0.25,"2","P1","c","cat_themes.krn",0,0,"P1",1,"5 2 7"
"75",82,"1D","V","2dd",3,2,"2","P1","c","cat_themes.krn",0,0,"[cc]",1,"5 2 7"
"76",83,"4..T","i","(8ccL",1,0.5,"1","[cc]","c","cat_themes.krn",0,0,"+M2",1,"1 5 3- 2+"
"77",84,"4..T","i","24ddL",1.5,0.166667,"2","+M2","c","cat_themes.krn",0,0,"-M2",0,"1 5 3- 2+"
"78",85,"4..T","i","24cc",1.66667,0.166667,"1","-M2","c","cat_themes.krn",0,0,"-m2",1,"1 5 3- 2+"
"79",86,"4..T","i","24bJJ",1.83333,0.166667,"7","-m2","c","cat_themes.krn",0,0,"+m2",0,"1 5 3- 2+"
"80",87,"4..T","i","8.ccL",2,0.75,"1","+m2","c","cat_themes.krn",0,0,"+m3",1,"1 5 3- 2+"
"81",88,"16T","i","16ee-Jk)",2.75,0.25,"3","+m3","c","cat_themes.krn",0,0,"-m2",0,"1 5 3- 2+"
"82",89,"2T","V","(8ddL",3,0.5,"2","-m2","c","cat_themes.krn",0,0,"+P4",1,"5 2 7"
"83",90,"2T","V","8gg)",3.5,0.5,"5","+P4","c","cat_themes.krn",0,0,"P1",1,"5 2 7"
"84",91,"2T","V","8gg'",4,0.5,"5","P1","c","cat_themes.krn",0,0,"P1",1,"5 2 7"
"85",92,"2T","V","8gg'J",4.5,0.5,"5","P1","c","cat_themes.krn",0,0,"-P5",1,"5 2 7"
"86",93,"4..T","i","(8ccL",1,0.5,"1","-P5","c","cat_themes.krn",0,0,"+M2",1,"1 5 3- 2+"
"87",94,"4..T","i","24ddL",1.5,0.166667,"2","+M2","c","cat_themes.krn",0,0,"-M2",0,"1 5 3- 2+"
"88",95,"4..T","i","24cc",1.66667,0.166667,"1","-M2","c","cat_themes.krn",0,0,"-m2",1,"1 5 3- 2+"
"89",96,"4..T","i","24bJJ",1.83333,0.166667,"7","-m2","c","cat_themes.krn",0,0,"+m2",0,"1 5 3- 2+"
"90",97,"4..T","i","8.ccL",2,0.75,"1","+m2","c","cat_themes.krn",0,0,"+m3",1,"1 5 3- 2+"
"91",98,"16T","i","16ee-Jk)",2.75,0.25,"3","+m3","c","cat_themes.krn",0,0,"-m2",0,"1 5 3- 2+"
"92",99,"2T","V","(8ddL",3,0.5,"2","-m2","c","cat_themes.krn",0,0,"+P4",1,"5 2 7"
"93",100,"2T","V","8gg)",3.5,0.5,"5","+P4","c","cat_themes.krn",0,0,"P1",1,"5 2 7"
"94",101,"2T","V","8gg'",4,0.5,"5","P1","c","cat_themes.krn",0,0,"P1",1,"5 2 7"
"95",102,"2T","V","8gg'J",4.5,0.5,"5","P1","c","cat_themes.krn",0,0,"P1",1,"5 2 7"
"96",103,"4T","i","(8ggL",1,0.5,"5","P1","c","cat_themes.krn",0,0,"+m2",1,"1 5 3- 2+"
"97",104,"4T","i","8aa-)",1.5,0.5,"6","+m2","c","cat_themes.krn",0,0,"-m2",0,"1 5 3- 2+"
"98",105,"4P","iv","(8gg",2,0.5,"5","-m2","c","cat_themes.krn",0,0,"+m2",0,"4 1 6- 5+"
"99",106,"4P","iv","8aa-J)",2.5,0.5,"6","+m2","c","cat_themes.krn",0,0,"-m2",0,"4 1 6- 5+"
"100",107,"4D","C","8gg",3,0.5,"5","-m2","c","cat_themes.krn",0,0,"-M2",1,"5 1 3 7+"
"101",108,"4D","C","8ff",3.5,0.5,"4","-M2","c","cat_themes.krn",0,0,"-M2",0,"5 1 3 7+"
"102",109,"4D","V","8ee-",4,0.5,"3","-M2","c","cat_themes.krn",0,0,"-m2",0,"5 2 7"
"103",110,"4D","V","8dd",4.5,0.5,"2","-m2","c","cat_themes.krn",0,0,"-M2",1,"5 2 7"
"104",111,"1T","i","4cc",1,1,"1","-M2","c","cat_themes.krn",0,0,"P1",1,"1 5 3- 2+"
"105",112,"1T","i","8.cc",2,0.75,"1","P1","c","cat_themes.krn",0,0,"P1",1,"1 5 3- 2+"
"106",113,"1T","i","16cc",2.75,0.25,"1","P1","c","cat_themes.krn",0,0,"P1",1,"1 5 3- 2+"
"107",114,"1T","i","2cc",3,2,"1","P1","c","cat_themes.krn",0,0,"+M2",1,"1 5 3- 2+"
"108",117,"4T","V","4g'",2,2,"2","+M2","F","cat_themes.krn",0,0,"+M2",1,"5 2 7"
"109",118,"4T","I","4a'",3,2,"3","+M2","F","cat_themes.krn",0,0,"-M3",1,"1 5 3"
"110",119,"4T","vi","4f')",4,1,"1","-M3","F","cat_themes.krn",0,0,"+P5",1,"6 3 1 7+"
"111",120,"1D","V","2cc`",1,7,"5","+P5","F","cat_themes.krn",0,0,"-P4",1,"5 2 7"
"112",121,"1D","V","2g`",3,7,"2","-P4","F","cat_themes.krn",0,0,"-M2",1,"5 2 7"
"113",122,"2.T","I","2.f",1,7,"1","-M2","F","cat_themes.krn",0,0,"[cc]",1,"1 5 3"
"114",123,"4T","IV/V","(4cc'",4,1,"5","[cc]","F","cat_themes.krn",0,0,"P1",1,"1 5 3"
"115",124,"1T","I/V","4cc'",1,1,"5","P1","F","cat_themes.krn",0,0,"+M2",1,"5 2 7"
"116",125,"1T","I/V","4dd'",2,1,"6","+M2","F","cat_themes.krn",0,0,"+M2",0,"5 2 7"
"117",126,"1T","I/V","4ee'",3,1,"7","+M2","F","cat_themes.krn",0,0,"-M3",1,"5 2 7"
"118",127,"1T","I/V","4cc')",4,1,"5","-M3","F","cat_themes.krn",0,0,"+P4",1,"5 2 7"
"119",128,"2P","ii/V","2ff`",1,2,"1","+P4","F","cat_themes.krn",0,0,"-m3",1,"6 3 1 7+"
"120",129,"2D","V/V","2dd`",3,2,"6","-m3","F","cat_themes.krn",0,0,"-M2",1,"2 6 4+"
"121",130,"2.T","I/V","2.cc",1,3,"5","-M2","F","cat_themes.krn",0,0,"[cc]",1,"5 2 7"
"122",131,"4T","V","(4cc'",4,1,"5","[cc]","F","cat_themes.krn",0,0,"+P4",1,"5 2 7"
"123",132,"4T","I","4ff'",1,1,"1","+P4","F","cat_themes.krn",0,0,"-m2",1,"1 5 3"
"124",133,"4T","V","4ee'",2,1,"7","-m2","F","cat_themes.krn",0,0,"-M2",1,"5 2 7"
"125",134,"4T","IV","4dd'",3,1,"6","-M2","F","cat_themes.krn",0,0,"-M2",1,"4 1 6"
"126",135,"4T","I","4cc')",4,1,"5","-M2","F","cat_themes.krn",0,0,"+P4",1,"1 5 3"
"127",136,"4T","I","(4ff'",1,1,"1","+P4","F","cat_themes.krn",0,0,"-m2",1,"1 5 3"
"128",137,"4T","V","4ee'",2,1,"7","-m2","F","cat_themes.krn",0,0,"-M2",1,"5 2 7"
"129",138,"4T","IV","4dd')",3,1,"6","-M2","F","cat_themes.krn",0,0,"-M9",1,"4 1 6"
"130",139,"4T","I","(4c'",4,1,"5","-M9","F","cat_themes.krn",0,0,"+P4",1,"1 5 3"
"131",141,"4T","I","4f'",1,1,"1","+P4","F","cat_themes.krn",0,0,"+M2",1,"1 5 3"
"132",142,"4T","V","4g'",2,1,"2","+M2","F","cat_themes.krn",0,0,"+M2",1,"5 2 7"
"133",143,"4T","I","4a'",3,1,"3","+M2","F","cat_themes.krn",0,0,"+m2",1,"1 5 3"
"134",144,"4P","IV","4b-')",4,1,"4","+m2","F","cat_themes.krn",0,0,"+M2",1,"4 1 6"
"135",145,"1D","V","2cc`",1,2,"5","+M2","F","cat_themes.krn",0,0,"-P4",1,"5 2 7"
"136",146,"1D","V","2g`",3,2,"2","-P4","F","cat_themes.krn",0,0,"-M2",1,"5 2 7"
"137",147,"2.T","I","2.f",1,3,"1","-M2","F","cat_themes.krn",0,0,"[ff#]",1,"1 5 3"
"138",148,"4T","I","8ff#",1,0.5,"3","[ff#]","D","cat_themes.krn",0,1,"-M2",1,"1 5 3"
"139",150,"4T","V7","8ee",2,0.5,"2","-M2","D","cat_themes.krn",1,1,"-M2",1,"5 2 7 4 3+"
"140",152,"2T","vi","4dd",1,1,"1","-M2","D","cat_themes.krn",1,1,"-m2",1,"6 3 1 7+"
"141",154,"2T","vi","16cc#",2.75,0.25,"7","-m2","D","cat_themes.krn",1,0,"-M2",0,"6 3 1 7+"
"142",155,"2T","IV","8b",1,0.5,"6","-M2","D","cat_themes.krn",0,1,"P1",1,"4 1 6"
"143",157,"2T","IV","8b",2,0.5,"6","P1","D","cat_themes.krn",1,1,"-M2",1,"4 1 6"
"144",159,"2T","I","8a",1,0.5,"5","-M2","D","cat_themes.krn",1,1,"-m3",1,"1 5 3"
"145",162,"2T","I","8f#",1,0.5,"3","-m3","D","cat_themes.krn",1,1,"P1",1,"1 5 3"
"146",164,"2T","I","4f#",2,1,"3","P1","D","cat_themes.krn",1,0,"+m2",1,"1 5 3"
"147",165,"2T","V7","8g",1,0.5,"4","+m2","D","cat_themes.krn",0,1,"P1",1,"5 2 7 4 3+"
"148",167,"2T","V7","4g",2,1,"4","P1","D","cat_themes.krn",1,0,"-m2",1,"5 2 7 4 3+"
"149",168,"2T","I","8f#",1,0.5,"3","-m2","D","cat_themes.krn",0,1,"P1",1,"1 5 3"
"150",170,"2T","I","4f#",2,1,"3","P1","D","cat_themes.krn",1,0,"-M2",1,"1 5 3"
"151",171,"2D","V","4e",1,1,"2","-M2","D","cat_themes.krn",0,1,"[e]",1,"5 2 7"
"152",173,"2D","V7","8e",1,1,"2","[e]","D","cat_themes.krn",1,1,"+P4",1,"5 2 7 4 3+"
"153",175,"2D","V7","8a",2,0.5,"5","+P4","D","cat_themes.krn",1,1,"-m3",1,"5 2 7 4 3+"
"154",177,"2D","I","8f#",1,0.5,"3","-m3","D","cat_themes.krn",1,1,"+m6",1,"1 5 3"
"155",179,"2D","I","8dd",2,0.5,"1","+m6","D","cat_themes.krn",1,1,"+M2",1,"1 5 3"
"156",181,"2D","V7","8ee",1,0.5,"2","+M2","D","cat_themes.krn",1,1,"-P5",1,"5 2 7 4 3+"
"157",183,"2D","V7","8a",2,0.5,"5","-P5","D","cat_themes.krn",1,1,"+P4",1,"5 2 7 4 3+"
"158",185,"2D","I","8dd",1,0.5,"1","+P4","D","cat_themes.krn",1,1,"-P8",1,"1 5 3"
"159",187,"2D","I","8d",2,0.5,"1","-P8","D","cat_themes.krn",1,1,"+M2",1,"1 5 3"
"160",189,"2D","V7","8e",1,0.5,"2","+M2","D","cat_themes.krn",1,1,"+P4",1,"5 2 7 4 3+"
"161",191,"2D","V7","8a",2,0.5,"5","+P4","D","cat_themes.krn",1,1,"-m3",1,"5 2 7 4 3+"
"162",193,"2D","C","8f#",1,0.5,"3","-m3","D","cat_themes.krn",1,1,"+m6",1,"5 1 3 7+"
"163",195,"2D","C","8dd",2,0.5,"1","+m6","D","cat_themes.krn",1,1,"-P4",1,"5 1 3 7+"
"164",197,"2D","V7","4a",1,1,"5","-P4","D","cat_themes.krn",1,0,"-m2",1,"5 2 7 4 3+"
"165",198,"2D","V7","16g#LL",2,0.25,"4+","-m2","D","cat_themes.krn",0,0,"+m2",0,"5 2 7 4 3+"
"166",199,"2D","V7","16a",2.25,0.25,"5","+m2","D","cat_themes.krn",0,0,"+M2",1,"5 2 7 4 3+"
"167",200,"2D","V7","16b",2.5,0.25,"6","+M2","D","cat_themes.krn",0,0,"-M2",0,"5 2 7 4 3+"
"168",201,"2D","V7","16aJJ",2.75,0.25,"5","-M2","D","cat_themes.krn",0,0,"-P5",1,"5 2 7 4 3+"
"169",202,"2T","I","4d",1,1,"1","-P5","D","cat_themes.krn",0,1,"[e]",1,"1 5 3"
"170",204,"8T","V","8e'",2.5,0.5,"5","[e]","A","cat_themes.krn",1,0,"+P4",1,"5 2 7"
"171",205,"2T","I","8a'L",1,0.5,"1","+P4","A","cat_themes.krn",0,0,"+M2",1,"1 5 3"
"172",206,"2T","I","8b'J",1.5,0.5,"2","+M2","A","cat_themes.krn",0,0,"+M2",0,"1 5 3"
"173",207,"2T","I","8cc#'L",2,0.5,"3","+M2","A","cat_themes.krn",0,0,"+m2",1,"1 5 3"
"174",208,"2T","I","8dd'J",2.5,0.5,"4","+m2","A","cat_themes.krn",0,0,"+M2",0,"1 5 3"
"175",209,"2T","V","(8.eeL",1,0.75,"5","+M2","A","cat_themes.krn",0,0,"+M2",1,"5 2 7"
"176",211,"2T","V","16ff#Jk)",1.75,0.25,"6","+M2","A","cat_themes.krn",0,0,"-M2",0,"5 2 7"
"177",212,"2T","V","8ee'L",2,0.5,"5","-M2","A","cat_themes.krn",0,0,"-M2",1,"5 2 7"
"178",213,"2T","V","8dd'J",2.5,0.5,"4","-M2","A","cat_themes.krn",0,0,"-m2",0,"5 2 7"
"179",214,"8T","I","8cc#'L",1,0.5,"3","-m2","A","cat_themes.krn",0,0,"-M3",1,"1 5 3"
"180",215,"8T","I","8a'J",1.5,0.5,"1","-M3","A","cat_themes.krn",0,0,"+P4",1,"1 5 3"
"181",216,"8T","viio","8dd'",2,0.5,"4","+P4","A","cat_themes.krn",0,0,"-m2",1,"7 2 4 1++ 3+"
"182",217,"8T","I","8cc#'",2.5,0.5,"3","-m2","A","cat_themes.krn",0,0,"P1",1,"1 5 3"
"183",218,"8D","C","8cc#",1,0.5,"3","P1","A","cat_themes.krn",0,0,"-M2",1,"5 1 3 7+"
"184",219,"4D","V","8b",1.5,0.5,"2","-M2","A","cat_themes.krn",0,1,"[e]",1,"5 2 7"
"185",221,"8T","V","8e'",2.5,0.5,"5","[e]","A","cat_themes.krn",1,0,"+P4",1,"5 2 7"
"186",222,"2T","I","8a'L",1,0.5,"1","+P4","A","cat_themes.krn",0,0,"+M2",1,"1 5 3"
"187",223,"2T","I","8b'J",1.5,0.5,"2","+M2","A","cat_themes.krn",0,0,"+M2",0,"1 5 3"
"188",224,"2T","I","8cc#'L",2,0.5,"3","+M2","A","cat_themes.krn",0,0,"+m2",1,"1 5 3"
"189",225,"2T","I","8dd'J",2.5,0.5,"4","+m2","A","cat_themes.krn",0,0,"+M2",0,"1 5 3"
"190",226,"2T","V","(8.eeL",1,0.75,"5","+M2","A","cat_themes.krn",0,0,"+M2",1,"5 2 7"
"191",228,"2T","V","16ff#Jk)",1.75,0.25,"6","+M2","A","cat_themes.krn",0,0,"-M2",0,"5 2 7"
"192",229,"2T","V","8ee'L",2,0.5,"5","-M2","A","cat_themes.krn",0,0,"-M2",1,"5 2 7"
"193",230,"2T","V","8dd'J",2.5,0.5,"4","-M2","A","cat_themes.krn",0,0,"-m2",0,"5 2 7"
"194",231,"8T","I","8cc#'L",1,0.5,"3","-m2","A","cat_themes.krn",0,0,"-M3",1,"1 5 3"
"195",232,"8T","I","8a'J",1.5,0.5,"1","-M3","A","cat_themes.krn",0,0,"+P4",1,"1 5 3"
"196",233,"8T","viio","8dd'",2,0.5,"4","+P4","A","cat_themes.krn",0,0,"-m2",1,"7 2 4 1++ 3+"
"197",234,"8T","I","8cc#'",2.5,0.5,"3","-m2","A","cat_themes.krn",0,0,"P1",1,"1 5 3"
"198",235,"8D","C","8cc#",1,0.5,"3","P1","A","cat_themes.krn",0,0,"-M2",1,"5 1 3 7+"
"199",236,"4D","V","8b",1.5,0.5,"2","-M2","A","cat_themes.krn",0,1,"[b]",1,"5 2 7"
"200",238,"8D","V/V","8b'",2.5,0.5,"2","[b]","A","cat_themes.krn",1,0,"P1",1,"2 6 4+"
"201",239,"2D","V7/V","8b'L",1,0.5,"2","P1","A","cat_themes.krn",0,0,"+M2",1,"2 6 4+ 1 7+"
"202",240,"2D","V7/V","8cc#'J",1.5,0.5,"3","+M2","A","cat_themes.krn",0,0,"-M2",0,"2 6 4+ 1 7+"
"203",241,"2D","V7/V","8b'L",2,0.5,"2","-M2","A","cat_themes.krn",0,0,"-M2",1,"2 6 4+ 1 7+"
"204",242,"2D","V7/V","8a'J",2.5,0.5,"1","-M2","A","cat_themes.krn",0,0,"-m2",1,"2 6 4+ 1 7+"
"205",243,"2D","V","(8.g#L",1,0.75,"7","-m2","A","cat_themes.krn",0,0,"+m2",1,"5 2 7"
"206",245,"2D","V","16aJk)",1.75,0.25,"1","+m2","A","cat_themes.krn",0,0,"+M2",0,"5 2 7"
"207",246,"2D","V","8b'L",2,0.5,"2","+M2","A","cat_themes.krn",0,0,"P1",1,"5 2 7"
"208",247,"2D","V","8b'J",2.5,0.5,"2","P1","A","cat_themes.krn",0,0,"P1",1,"5 2 7"
"209",248,"2D","V7/V","8b'L",1,0.5,"2","P1","A","cat_themes.krn",0,0,"+M2",1,"2 6 4+ 1 7+"
"210",249,"2D","V7/V","8cc#'J",1.5,0.5,"3","+M2","A","cat_themes.krn",0,0,"-M2",0,"2 6 4+ 1 7+"
"211",250,"2D","V7/V","8b'L",2,0.5,"2","-M2","A","cat_themes.krn",0,0,"-M2",1,"2 6 4+ 1 7+"
"212",251,"2D","V7/V","8a'J",2.5,0.5,"1","-M2","A","cat_themes.krn",0,0,"-m2",1,"2 6 4+ 1 7+"
"213",252,"4.D","V","(8.g#L",1,0.75,"7","-m2","A","cat_themes.krn",0,0,"+m2",1,"5 2 7"
"214",254,"4.D","V","16aJk)",1.75,0.25,"1","+m2","A","cat_themes.krn",0,0,"+M2",0,"5 2 7"
"215",255,"4.D","V","8b'L",2,0.5,"2","+M2","A","cat_themes.krn",0,0,"[b]",1,"5 2 7"
"216",256,"8D","V","8b'J",2.5,0.5,"2","[b]","A","cat_themes.krn",0,0,"+M2",1,"5 2 7"
"217",257,"4D","I","8cc#'L",1,0.5,"3","+M2","A","cat_themes.krn",0,0,"+m3",1,"1 5 3"
"218",258,"4D","I","8ee'J",1.5,0.5,"5","+m3","A","cat_themes.krn",0,0,"-m2",1,"1 5 3"
"219",259,"4D","V/V","8dd#'L",2,0.5,"4+","-m2","A","cat_themes.krn",0,0,"+m3",1,"2 6 4+"
"220",260,"4D","V/V","8ff#'J",2.5,0.5,"6","+m3","A","cat_themes.krn",0,0,"-M2",1,"2 6 4+"
"221",261,"4.D","V","8ee'L",1,0.5,"5","-M2","A","cat_themes.krn",0,0,"+M3",1,"5 2 7"
"222",262,"4.D","V","8gg#'J",1.5,0.5,"7","+M3","A","cat_themes.krn",0,0,"-M3",1,"5 2 7"
