""	"function"	"harm"	"melody"	"beat_pos"	"duration"	"scale_deg"	"approaching"	"key"	"file"	"depart"	"Response"	"Chordnotes"
"58"	"1T"	"I/III"	"16ee-"	"2.75"	"0.25"	"3"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"59"	"1T"	"I/III"	"2ee-"	"3"	"2"	"3"	"P1"	"c"	"B063.krn"	"[bb-]"	NA	NA
"60"	"2T"	"III"	"4bb-"	"1"	"1"	"7-"	"[bb-]"	"c"	"B063.krn"	"P1"	NA	NA
"61"	"2T"	"III"	"8.bb-L"	"2"	"0.75"	"7-"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"63"	"2T"	"III"	"16bb-Jk"	"2.75"	"0.25"	"7-"	"P1"	"c"	"B063.krn"	"+M2"	NA	NA
"64"	"2T"	"V/iv"	"(8cccL"	"3"	"0.5"	"1"	"+M2"	"c"	"B063.krn"	"-M2"	NA	NA
"65"	"2T"	"V/iv"	"8bb-"	"3.5"	"0.5"	"7-"	"-M2"	"c"	"B063.krn"	"-M2"	NA	NA
"66"	"2T"	"V/iv"	"8aa-"	"4"	"0.5"	"6"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"67"	"2T"	"V/iv"	"8ggJ)"	"4.5"	"0.5"	"5"	"-m2"	"c"	"B063.krn"	"+m2"	NA	NA
"68"	"1T"	"iv"	"4aa-"	"1"	"1"	"6"	"+m2"	"c"	"B063.krn"	"-m3"	NA	NA
"69"	"1T"	"iv"	"8.ff"	"2"	"0.75"	"4"	"-m3"	"c"	"B063.krn"	"P1"	NA	NA
"70"	"1T"	"iv"	"16ff"	"2.75"	"0.25"	"4"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"71"	"1T"	"iv"	"2ff"	"3"	"2"	"4"	"P1"	"c"	"B063.krn"	"+M2"	NA	NA
"72"	"4T"	"i"	"4gg"	"1"	"1"	"5"	"+M2"	"c"	"B063.krn"	"P1"	NA	NA
"73"	"4T"	"i"	"8.gg"	"2"	"0.75"	"5"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"74"	"4T"	"i"	"16gg"	"2.75"	"0.25"	"5"	"P1"	"c"	"B063.krn"	"+m2"	NA	NA
"75"	"4P"	"iv"	"8aa-"	"3"	"0.5"	"6"	"+m2"	"c"	"B063.krn"	"-m2"	NA	NA
"76"	"4P"	"iv"	"8gg"	"3.5"	"0.5"	"5"	"-m2"	"c"	"B063.krn"	"-M2"	NA	NA
"77"	"4D"	"V/V"	"8ff"	"4"	"0.5"	"4"	"-M2"	"c"	"B063.krn"	"-M2"	NA	NA
"78"	"4D"	"V/V"	"8ee-"	"4.5"	"0.5"	"3"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"79"	"1D"	"V"	"4dd"	"1"	"1"	"2"	"-m2"	"c"	"B063.krn"	"P1"	NA	NA
"80"	"1D"	"V"	"8.dd"	"2"	"0.75"	"2"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"81"	"1D"	"V"	"16dd"	"2.75"	"0.25"	"2"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"82"	"1D"	"V"	"2dd"	"3"	"2"	"2"	"P1"	"c"	"B063.krn"	"[cc]"	NA	NA
"83"	"4..T"	"i"	"(8ccL"	"1"	"0.5"	"1"	"[cc]"	"c"	"B063.krn"	"+M2"	NA	NA
"84"	"4..T"	"i"	"24ddL"	"1.5"	"0.166667"	"2"	"+M2"	"c"	"B063.krn"	"-M2"	NA	NA
"85"	"4..T"	"i"	"24cc"	"1.66667"	"0.166667"	"1"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"86"	"4..T"	"i"	"24bJJ"	"1.83333"	"0.166667"	"7"	"-m2"	"c"	"B063.krn"	"+m2"	NA	NA
"87"	"4..T"	"i"	"8.ccL"	"2"	"0.75"	"1"	"+m2"	"c"	"B063.krn"	"+m3"	NA	NA
"88"	"16T"	"i"	"16ee-Jk)"	"2.75"	"0.25"	"3"	"+m3"	"c"	"B063.krn"	"-m2"	NA	NA
"89"	"2T"	"V"	"(8ddL"	"3"	"0.5"	"2"	"-m2"	"c"	"B063.krn"	"+P4"	NA	NA
"90"	"2T"	"V"	"8gg)"	"3.5"	"0.5"	"5"	"+P4"	"c"	"B063.krn"	"P1"	NA	NA
"91"	"2T"	"V"	"8gg'"	"4"	"0.5"	"5"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"92"	"2T"	"V"	"8gg'J"	"4.5"	"0.5"	"5"	"P1"	"c"	"B063.krn"	"-P5"	NA	NA
"93"	"4..T"	"i"	"(8ccL"	"1"	"0.5"	"1"	"-P5"	"c"	"B063.krn"	"+M2"	NA	NA
"94"	"4..T"	"i"	"24ddL"	"1.5"	"0.166667"	"2"	"+M2"	"c"	"B063.krn"	"-M2"	NA	NA
"95"	"4..T"	"i"	"24cc"	"1.66667"	"0.166667"	"1"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"96"	"4..T"	"i"	"24bJJ"	"1.83333"	"0.166667"	"7"	"-m2"	"c"	"B063.krn"	"+m2"	NA	NA
"97"	"4..T"	"i"	"8.ccL"	"2"	"0.75"	"1"	"+m2"	"c"	"B063.krn"	"+m3"	NA	NA
"98"	"16T"	"i"	"16ee-Jk)"	"2.75"	"0.25"	"3"	"+m3"	"c"	"B063.krn"	"-m2"	NA	NA
"99"	"2T"	"V"	"(8ddL"	"3"	"0.5"	"2"	"-m2"	"c"	"B063.krn"	"+P4"	NA	NA
"100"	"2T"	"V"	"8gg)"	"3.5"	"0.5"	"5"	"+P4"	"c"	"B063.krn"	"P1"	NA	NA
"101"	"2T"	"V"	"8gg'"	"4"	"0.5"	"5"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"102"	"2T"	"V"	"8gg'J"	"4.5"	"0.5"	"5"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"103"	"4T"	"i"	"(8ggL"	"1"	"0.5"	"5"	"P1"	"c"	"B063.krn"	"+m2"	NA	NA
"104"	"4T"	"i"	"8aa-)"	"1.5"	"0.5"	"6"	"+m2"	"c"	"B063.krn"	"-m2"	NA	NA
"105"	"4P"	"iv"	"(8gg"	"2"	"0.5"	"5"	"-m2"	"c"	"B063.krn"	"+m2"	NA	NA
"106"	"4P"	"iv"	"8aa-J)"	"2.5"	"0.5"	"6"	"+m2"	"c"	"B063.krn"	"-m2"	NA	NA
"107"	"4D"	"C"	"8gg"	"3"	"0.5"	"5"	"-m2"	"c"	"B063.krn"	"-M2"	NA	NA
"108"	"4D"	"C"	"8ff"	"3.5"	"0.5"	"4"	"-M2"	"c"	"B063.krn"	"-M2"	NA	NA
"109"	"4D"	"V"	"8ee-"	"4"	"0.5"	"3"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"110"	"4D"	"V"	"8dd"	"4.5"	"0.5"	"2"	"-m2"	"c"	"B063.krn"	"-M2"	NA	NA
"111"	"1T"	"i"	"4cc"	"1"	"1"	"1"	"-M2"	"c"	"B063.krn"	"P1"	NA	NA
"112"	"1T"	"i"	"8.cc"	"2"	"0.75"	"1"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"113"	"1T"	"i"	"16cc"	"2.75"	"0.25"	"1"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"114"	"1T"	"i"	"2cc"	"3"	"2"	"1"	"P1"	"c"	"B063.krn"	"[cc]"	NA	NA
"115"	"1T"	"i"	"2cc'"	"1"	"2"	"1"	"[cc]"	"c"	"B063.krn"	"+m3"	NA	NA
"120"	"1T"	"i"	"(4ee-"	"3"	"1"	"3"	"+m3"	"c"	"B063.krn"	"-m2"	NA	NA
"122"	"1T"	"i"	"8ddL"	"4"	"0.5"	"2"	"-m2"	"c"	"B063.krn"	"-M2"	NA	NA
"123"	"1T"	"i"	"8ccJ)"	"4.5"	"0.5"	"1"	"-M2"	"c"	"B063.krn"	"+A4"	NA	NA
"124"	"1D"	"V"	"(4ff#"	"1"	"1"	"4+"	"+A4"	"c"	"B063.krn"	"+m2"	NA	NA
"126"	"1D"	"V"	"4gg)"	"2"	"1"	"5"	"+m2"	"c"	"B063.krn"	"-P4"	NA	NA
"128"	"1D"	"V"	"2dd"	"3"	"2"	"2"	"-P4"	"c"	"B063.krn"	"+m3"	NA	NA
"132"	"1D"	"V7"	"(4.ff"	"1"	"1.5"	"4"	"+m3"	"c"	"B063.krn"	"+M2"	NA	NA
"135"	"1D"	"V7"	"16ggLL"	"2.5"	"0.25"	"5"	"+M2"	"c"	"B063.krn"	"+m2"	NA	NA
"136"	"1D"	"V7"	"16aa-JJ"	"2.75"	"0.25"	"6"	"+m2"	"c"	"B063.krn"	"-m2"	NA	NA
"137"	"1D"	"V7"	"8ggL"	"3"	"0.5"	"5"	"-m2"	"c"	"B063.krn"	"-M2"	NA	NA
"138"	"1D"	"V7"	"8ff"	"3.5"	"0.5"	"4"	"-M2"	"c"	"B063.krn"	"-M2"	NA	NA
"139"	"1D"	"V7"	"8ee-"	"4"	"0.5"	"3"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"140"	"1D"	"V7"	"8ddJ)"	"4.5"	"0.5"	"2"	"-m2"	"c"	"B063.krn"	"+m2"	NA	NA
"141"	"1T"	"i"	"4ee-"	"1"	"1"	"3"	"+m2"	"c"	"B063.krn"	"-m3"	NA	NA
"143"	"1T"	"i"	"8.ccL"	"2"	"0.75"	"1"	"-m3"	"c"	"B063.krn"	"P1"	NA	NA
"145"	"1T"	"i"	"16ccJk"	"2.75"	"0.25"	"1"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"146"	"1T"	"i"	"2cc"	"3"	"2"	"1"	"P1"	"c"	"B063.krn"	"[ee-]"	NA	NA
"150"	"2T"	"I/III"	"(8ee-L"	"1"	"0.5"	"3"	"[ee-]"	"c"	"B063.krn"	"+M2"	NA	NA
"151"	"2T"	"I/III"	"24ffL"	"1.5"	"0.166667"	"4"	"+M2"	"c"	"B063.krn"	"-M2"	NA	NA
"152"	"2T"	"I/III"	"24ee-"	"1.66667"	"0.166667"	"3"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"153"	"2T"	"I/III"	"24ddJJ"	"1.83333"	"0.166667"	"2"	"-m2"	"c"	"B063.krn"	"+m2"	NA	NA
"154"	"2T"	"I/III"	"8.ee-L"	"2"	"0.75"	"3"	"+m2"	"c"	"B063.krn"	"+M3"	NA	NA
"156"	"2T"	"I/III"	"16ggJk)"	"2.75"	"0.25"	"5"	"+M3"	"c"	"B063.krn"	"-M2"	NA	NA
"157"	"2T"	"V7/III"	"(8ffL"	"3"	"0.5"	"4"	"-M2"	"c"	"B063.krn"	"+P4"	NA	NA
"158"	"2T"	"V7/III"	"8bb-)"	"3.5"	"0.5"	"7-"	"+P4"	"c"	"B063.krn"	"P1"	NA	NA
"159"	"2T"	"V7/III"	"8bb-'"	"4"	"0.5"	"7-"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"160"	"2T"	"V7/III"	"8bb-'J"	"4.5"	"0.5"	"7-"	"P1"	"c"	"B063.krn"	"-P5"	NA	NA
"161"	"2T"	"I/III"	"(8ee-L"	"1"	"0.5"	"3"	"-P5"	"c"	"B063.krn"	"+M2"	NA	NA
"162"	"2T"	"I/III"	"24ffL"	"1.5"	"0.166667"	"4"	"+M2"	"c"	"B063.krn"	"-M2"	NA	NA
"163"	"2T"	"I/III"	"24ee-"	"1.66667"	"0.166667"	"3"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"164"	"2T"	"I/III"	"24ddJJ"	"1.83333"	"0.166667"	"2"	"-m2"	"c"	"B063.krn"	"+m2"	NA	NA
"165"	"2T"	"I/III"	"8.ee-L"	"2"	"0.75"	"3"	"+m2"	"c"	"B063.krn"	"+M3"	NA	NA
"167"	"2T"	"I/III"	"16ggJk)"	"2.75"	"0.25"	"5"	"+M3"	"c"	"B063.krn"	"-M2"	NA	NA
"168"	"2T"	"V7/III"	"8ffL"	"3"	"0.5"	"4"	"-M2"	"c"	"B063.krn"	"+P4"	NA	NA
"170"	"2T"	"V7/III"	"8bb-'"	"3.5"	"0.5"	"7-"	"+P4"	"c"	"B063.krn"	"P1"	NA	NA
"172"	"2T"	"V7/III"	"8bb-'"	"4"	"0.5"	"7-"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"174"	"2T"	"V7/III"	"8bb-'J"	"4.5"	"0.5"	"7-"	"P1"	"c"	"B063.krn"	"-P5"	NA	NA
"175"	"4T"	"I/III"	"(8ee-L"	"1"	"0.5"	"3"	"-P5"	"c"	"B063.krn"	"+P5"	NA	NA
"176"	"4T"	"I/III"	"8bb-"	"1.5"	"0.5"	"7-"	"+P5"	"c"	"B063.krn"	"+M2"	NA	NA
"177"	"4P"	"IV/III"	"8ccc"	"2"	"0.5"	"1"	"+M2"	"c"	"B063.krn"	"-M2"	NA	NA
"178"	"4P"	"IV/III"	"8bb-J)"	"2.5"	"0.5"	"7-"	"-M2"	"c"	"B063.krn"	"P1"	NA	NA
"179"	"4D"	"C/III"	"(8bb-L"	"3"	"0.5"	"7-"	"P1"	"c"	"B063.krn"	"-M2"	NA	NA
"180"	"4D"	"C/III"	"8aa-"	"3.5"	"0.5"	"6"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"181"	"4D"	"V/III"	"8gg"	"4"	"0.5"	"5"	"-m2"	"c"	"B063.krn"	"-M2"	NA	NA
"182"	"4D"	"V/III"	"8ffJ)"	"4.5"	"0.5"	"4"	"-M2"	"c"	"B063.krn"	"-M2"	NA	NA
"183"	"1T"	"I/III"	"4ee-"	"1"	"1"	"3"	"-M2"	"c"	"B063.krn"	"P1"	NA	NA
"184"	"1T"	"I/III"	"8.ee-"	"2"	"0.75"	"3"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"185"	"1T"	"I/III"	"16ee-"	"2.75"	"0.25"	"3"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"186"	"1T"	"I/III"	"2ee-"	"3"	"2"	"3"	"P1"	"c"	"B063.krn"	"[bb-]"	NA	NA
"187"	"2T"	"III"	"4bb-"	"1"	"1"	"7-"	"[bb-]"	"c"	"B063.krn"	"P1"	NA	NA
"189"	"2T"	"III"	"8.bb-L"	"2"	"0.75"	"7-"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"191"	"2T"	"III"	"16bb-Jk"	"2.75"	"0.25"	"7-"	"P1"	"c"	"B063.krn"	"+M2"	NA	NA
"192"	"2T"	"V/iv"	"(8cccL"	"3"	"0.5"	"1"	"+M2"	"c"	"B063.krn"	"-M2"	NA	NA
"193"	"2T"	"V/iv"	"8bb-"	"3.5"	"0.5"	"7-"	"-M2"	"c"	"B063.krn"	"-M2"	NA	NA
"194"	"2T"	"V/iv"	"8aa-"	"4"	"0.5"	"6"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"195"	"2T"	"V/iv"	"8ggJ)"	"4.5"	"0.5"	"5"	"-m2"	"c"	"B063.krn"	"-M2"	NA	NA
"196"	"1T"	"iv"	"4ff"	"1"	"1"	"4"	"-M2"	"c"	"B063.krn"	"P1"	NA	NA
"198"	"1T"	"iv"	"8.ffL"	"2"	"0.75"	"4"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"200"	"1T"	"iv"	"16ffJk"	"2.75"	"0.25"	"4"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"201"	"1T"	"iv"	"2ff"	"3"	"2"	"4"	"P1"	"c"	"B063.krn"	"+M2"	NA	NA
"205"	"2T"	"i"	"4gg"	"1"	"1"	"5"	"+M2"	"c"	"B063.krn"	"P1"	NA	NA
"207"	"2T"	"i"	"8.ggL"	"2"	"0.75"	"5"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"209"	"2T"	"i"	"16ggJk"	"2.75"	"0.25"	"5"	"P1"	"c"	"B063.krn"	"+m2"	NA	NA
"210"	"4P"	"iv"	"(8aa-L"	"3"	"0.5"	"6"	"+m2"	"c"	"B063.krn"	"-m2"	NA	NA
"211"	"4P"	"iv"	"8gg"	"3.5"	"0.5"	"5"	"-m2"	"c"	"B063.krn"	"-M2"	NA	NA
"212"	"4D"	"V/V"	"8ff"	"4"	"0.5"	"4"	"-M2"	"c"	"B063.krn"	"-M2"	NA	NA
"213"	"4D"	"V/V"	"8ee-J)"	"4.5"	"0.5"	"3"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"214"	"1D"	"V"	"4dd"	"1"	"1"	"2"	"-m2"	"c"	"B063.krn"	"P1"	NA	NA
"216"	"1D"	"V"	"8.ddL"	"2"	"0.75"	"2"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"218"	"1D"	"V"	"16ddJk"	"2.75"	"0.25"	"2"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"219"	"1D"	"V"	"2dd"	"3"	"2"	"2"	"P1"	"c"	"B063.krn"	"[cc]"	NA	NA
"223"	"2T"	"i"	"(8ccL"	"1"	"0.5"	"1"	"[cc]"	"c"	"B063.krn"	"+M2"	NA	NA
"224"	"2T"	"i"	"24ddL"	"1.5"	"0.166667"	"2"	"+M2"	"c"	"B063.krn"	"-M2"	NA	NA
"225"	"2T"	"i"	"24cc"	"1.66667"	"0.166667"	"1"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"226"	"2T"	"i"	"24bJJ"	"1.83333"	"0.166667"	"7"	"-m2"	"c"	"B063.krn"	"+m2"	NA	NA
"227"	"2T"	"i"	"8.ccL"	"2"	"0.75"	"1"	"+m2"	"c"	"B063.krn"	"+m3"	NA	NA
"229"	"2T"	"i"	"16ee-Jk)"	"2.75"	"0.25"	"3"	"+m3"	"c"	"B063.krn"	"-m2"	NA	NA
"230"	"2T"	"V"	"(8ddL"	"3"	"0.5"	"2"	"-m2"	"c"	"B063.krn"	"+P4"	NA	NA
"231"	"2T"	"V"	"8gg)"	"3.5"	"0.5"	"5"	"+P4"	"c"	"B063.krn"	"P1"	NA	NA
"232"	"2T"	"V"	"8gg'"	"4"	"0.5"	"5"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"233"	"2T"	"V"	"8gg'J"	"4.5"	"0.5"	"5"	"P1"	"c"	"B063.krn"	"-P5"	NA	NA
"234"	"2T"	"i"	"(8ccL"	"1"	"0.5"	"1"	"-P5"	"c"	"B063.krn"	"+M2"	NA	NA
"235"	"2T"	"i"	"24ddL"	"1.5"	"0.166667"	"2"	"+M2"	"c"	"B063.krn"	"-M2"	NA	NA
"236"	"2T"	"i"	"24cc"	"1.66667"	"0.166667"	"1"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"237"	"2T"	"i"	"24bJJ"	"1.83333"	"0.166667"	"7"	"-m2"	"c"	"B063.krn"	"+m2"	NA	NA
"238"	"2T"	"i"	"8.ccL"	"2"	"0.75"	"1"	"+m2"	"c"	"B063.krn"	"+m3"	NA	NA
"240"	"2T"	"i"	"16ee-Jk)"	"2.75"	"0.25"	"3"	"+m3"	"c"	"B063.krn"	"-m2"	NA	NA
"241"	"2T"	"V"	"8ddL"	"3"	"0.5"	"2"	"-m2"	"c"	"B063.krn"	"+P4"	NA	NA
"243"	"2T"	"V"	"8gg'"	"3.5"	"0.5"	"5"	"+P4"	"c"	"B063.krn"	"P1"	NA	NA
"245"	"2T"	"V"	"8gg'"	"4"	"0.5"	"5"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"247"	"2T"	"V"	"8gg'J"	"4.5"	"0.5"	"5"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
"248"	"4T"	"i"	"(8ggL"	"1"	"0.5"	"5"	"P1"	"c"	"B063.krn"	"+m2"	NA	NA
"249"	"4T"	"i"	"8aa-)"	"1.5"	"0.5"	"6"	"+m2"	"c"	"B063.krn"	"-m2"	NA	NA
"250"	"4P"	"iio"	"(8gg"	"2"	"0.5"	"5"	"-m2"	"c"	"B063.krn"	"+m2"	NA	NA
"251"	"4P"	"iio"	"8aa-J)"	"2.5"	"0.5"	"6"	"+m2"	"c"	"B063.krn"	"-m2"	NA	NA
"252"	"4D"	"C"	"(8ggL"	"3"	"0.5"	"5"	"-m2"	"c"	"B063.krn"	"-M2"	NA	NA
"253"	"4D"	"C"	"8ff"	"3.5"	"0.5"	"4"	"-M2"	"c"	"B063.krn"	"-M2"	NA	NA
"254"	"4D"	"V"	"8ee-"	"4"	"0.5"	"3"	"-M2"	"c"	"B063.krn"	"-m2"	NA	NA
"255"	"4D"	"V"	"8ddJ)"	"4.5"	"0.5"	"2"	"-m2"	"c"	"B063.krn"	"-M2"	NA	NA
"256"	"1T"	"i"	"4cc"	"1"	"1"	"1"	"-M2"	"c"	"B063.krn"	"P1"	NA	NA
"257"	"1T"	"i"	"8.cc"	"2"	"0.75"	"1"	"P1"	"c"	"B063.krn"	"P1"	NA	NA
